content,source_file,chapter,section,subsection,department,system_category,content_type,chunk_type,hierarchy_level,parent_chunk,keywords,char_count,token_count
甲状腺功能亢进症（hyperthyroidism），简称甲亢，指甲状腺呈现高功能状态，产生和释放过多的甲状腺激素所致的一组疾病，其共同特征为甲状腺激素分泌增加而导致的高代谢和交感神经系统的兴奋性增加。本病多见于女性，男女得病之比为1∶4，各种年龄均可发病，但以中青年发病者最多。甲状腺功能亢进的病因及临床表现 引起甲状腺功能亢进的病因很多，最常见的是Graves病（弥漫性毒性甲状腺肿），占所有甲状腺功能亢进的85％。Graves病与自身免疫反应有关，其免疫失调的突出特征是患者的B淋巴细胞产生抗体，其中一些可以与甲状腺滤泡细胞上的促甲状腺激素（TSH）受体结合并使受体活化，刺激甲状腺的增长并产生过多的甲状腺激素。甲状腺功能亢进的主要临床症状有甲状腺肿大、食欲亢进、体重减轻、心动过速、情绪激动、怕热、出汗、手抖。甲状腺危象（thyroid storm）又称甲状腺功能亢进危象，为甲状腺功能亢进患者可危及生命的严重表现，通常见于严重的甲状腺功能亢进者在合并其他疾病时，如感染、败血症、精神应激和重大手术时。严重的甲状腺功能亢进同时合并其他疾病与甲状腺危象之间很难截然区分，因此严重甲状腺功能亢进同时合并感染、败血症等其他疾病的患者如不能区分是否是甲状腺危象，应按甲状腺危象处理。甲状腺功能亢进的诊断和治疗原则 甲状腺功能亢进的诊断主要包括临床高代谢的症状和体征、甲状腺肿和（或）甲状腺结节以及TT$_$、FT$_$ 、TT$_$ 、FT$_$ 升高，TSH降低。目前尚无有效地针对病因和发病机制的根治方案，对症治疗主要是控制高代谢症状，促进器官特异性自身免疫的消退。适当休息，避免过度紧张和精神刺激，补充足够的热量和营养，限制碘摄入是甲状腺功能亢进的一般治疗原则。此外，常用的治疗方法有三种：抗甲状腺药物治疗、放射性同位素碘$^$ 治疗和甲状腺次全切除术。药物治疗是甲状腺功能亢进治疗最常用的方法。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,甲状腺功能亢进症,,内分泌科,内分泌系统及代谢性疾病,药物治疗,概述,2,,"甲状腺功能亢进,甲状腺,危象,治疗,甲状腺肿",800,400
放射性同位素碘$^$ 治疗和手术治疗前必须用药物控制甲状腺功能亢进，以免发生甲状腺危象。治疗药物的选用 硫脲类 硫脲类药物优点是口服用药易被接受，在使病情缓解的同时不会引起腺体损伤。但此类药物疗程长、依从性差、儿童用药需家长和医师的严密监护、复发率较高、不良反应危险性大。此类药物目前常用的包括丙硫氧嘧啶（PTU）、甲巯咪唑（MMI）和卡比马唑等。硫脲类药物可用于甲状腺功能亢进内科治疗和术前准备用药。初始剂量：PTU每日300～400mg，分3或4次服用。MMI每日30～40mg，每日1或3次服用。儿童与成人服法相同，单剂量需调整。甲状腺危象或严重甲状腺功能亢进宜选用PTU，因其可阻断外周组织T$_$ 向T$_$ 转化，较MMI起效为迅速。虽然PTU的使用非常广泛，但MMI也有其特别优势。该药可以每日给药1次，可提高患者依从性。与PTU相比，等剂量条件下MMI的药效当10倍的PTU，所以MMI药效更强，所需剂量更小，但PTU不良反应低，且与剂量相关。因此，在PTU不耐受或其他临床不适用PTU的情况下可选用MMI。妊娠期间进行甲状腺功能亢进治疗时，多选用PTU，而非MMI。并且由于PTU几乎不透过胎盘屏障，也不经乳汁分泌，PTU也适用于哺乳期妇女。儿童甲状腺功能亢进的治疗应选用MMI。丙硫氧嘧啶（Propylthiouracil，PTU）： 【适应证】 （1）甲状腺功能亢进的内科治疗：适用于病情轻，甲状腺轻、中度肿大的甲状腺功能亢进患者。年龄＜20岁、妊娠甲状腺功能亢进、年老体弱或合并严重心、肝、肾疾病不能耐受手术者。不适宜手术或放疗者、手术后复发而不适于放射性碘治疗者均宜采用药物治疗，也可作为放射性碘治疗时的辅助治疗。（2）甲状腺危象的治疗：作为辅助治疗以阻断甲状腺素的合成。（3）术前准备：为了减少麻醉和术后并发症，防止术后发生甲状腺危象。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,甲状腺功能亢进症,,内分泌科,内分泌系统及代谢性疾病,药物治疗,治疗,2,,"PTU,MMI,甲状腺功能亢进,治疗,危象",782,391
【用法和用量】 口服：用药剂量应个体化。根据病情、治疗反应及甲状腺功能检查结果随时调整。每日剂量分次口服，间隔时间尽可能平均。（1）用于甲状腺功能亢进。成人开始剂量为每次100mg，每日3次，每日最大剂量为600mg，通常在4周以后发挥作用。当症状消失，血中甲状腺激素水平接近正常后逐渐减量。大约每2～4周减药1次，减量至每日50～100mg，减至最低有效剂量每日50～100mg时维持治疗，总疗程一般为1.5～2年。治疗过程中出现甲状腺功能减退或甲状腺明显增大时可酌情加用左甲状腺素或甲状腺片。儿童开始剂量为每日按体重4mg/kg，分次口服，维持量酌减。（2）用于甲状腺危象。每日400～800mg，分3次服用，疗程不超过1周，作为综合性治疗措施之一。（3）甲状腺功能亢进术前准备。每次100mg，每日3次，使甲状腺功能恢复到正常或接近正常，然后加服2周碘剂再进行手术。【不良反应】 多发生在用药初始的2个月。一般不良反应为胃肠道反应、关节痛、头痛、皮疹、药物热等。血液不良反应为轻度白细胞计数减少，严重粒细胞缺乏、血小板计数减少、脉管炎和红斑狼疮样综合征。罕见间质性肺炎、肾炎、黄疸、肝功能损害、免疫功能紊乱等。【注意事项】 （1）本品可透过胎盘屏障，并引起胎儿甲状腺功能减退及甲状腺肿大，甚至在分娩时造成难产、窒息。因此，对患甲状腺功能亢进的妊娠妇女宜采应用最小有效剂量的抗甲状腺药。本品可由乳汁分泌，可引起婴儿甲状腺功能减退，在哺乳期间应停止哺乳。（2）小儿用药应根据病情调节用量，老年人尤其肾功能减退者，用药量应减少。甲状腺功能亢进控制后及时减量，用药过程中应加用甲状腺素，避免出现甲状腺功能减退。（3）外周血白细胞计数偏低、对硫脲类药过敏者慎用。如出现粒细胞缺乏或肝炎的症状和体征，应停止用药。（4）老年患者发生血液不良反应的危险性增加，若中性粒细胞少于1.5×10$_$ /L应即停药。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,甲状腺功能亢进症,,内分泌科,内分泌系统及代谢性疾病,药物治疗,临床表现,2,,"甲状腺,剂量,每日,甲状腺功能亢进,100mg",800,400
【禁忌证】 （1）对本品及其他硫脲类药过敏者。（2）严重肝肾功能损害、严重粒细胞缺乏、结节性甲状腺肿伴甲状腺功能亢进者、甲状腺瘤者。甲巯咪唑（Thiamazole）： 【适应证】 【注意事项】 同丙硫氧嘧啶。【用法和用量】 口服。（1）用于甲状腺功能亢进。成人开始每日30mg，可按病情轻重调节为每日30～45mg，每日最大量60mg，一般均分3次口服，但也可每日单次顿服。病情控制后，逐渐减量，1次减量每日5～10mg。维持量为每日5～15mg，疗程一般1～1.5年。（2）用于儿童甲状腺功能亢进。开始时剂量为每日按体重0.4mg/kg，最大剂量为30mg，分次口服。维持量约减半或按病情轻重调节。【不良反应】 常见皮疹、瘙痒、白细胞计数减少。少见严重粒细胞缺乏、血小板计数减少、凝血因子Ⅱ和Ⅶ降低。可见味觉减退、恶心、呕吐、上腹不适、关节痛、脉管炎等。【禁忌证】 对本品过敏者、哺乳期妇女。碘剂 碘剂起效迅速，对于甲状腺危象患者是较好的选择。碘剂按常规应用于甲状腺手术前10～14d，可减少腺体血供并增加腺体硬度使其易于切除。手术前碘剂可与β受体阻断剂或硫脲类药物先后或联合使用。此外，碘剂在硫脲类药物起效之前，可用于缓解甲状腺功能亢进的症状，用于甲状腺危象的抢救。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,甲状腺功能亢进症,,内分泌科,内分泌系统及代谢性疾病,药物治疗,治疗,2,,"碘剂,甲状腺功能亢进,每日,硫脲,甲状腺",535,267
引起甲状腺功能亢进的病因很多，最常见的是Graves病（弥漫性毒性甲状腺肿），占所有甲状腺功能亢进的85％。Graves病与自身免疫反应有关，其免疫失调的突出特征是患者的B淋巴细胞产生抗体，其中一些可以与甲状腺滤泡细胞上的促甲状腺激素（TSH）受体结合并使受体活化，刺激甲状腺的增长并产生过多的甲状腺激素。甲状腺功能亢进的主要临床症状有甲状腺肿大、食欲亢进、体重减轻、心动过速、情绪激动、怕热、出汗、手抖。甲状腺危象（thyroid storm）又称甲状腺功能亢进危象，为甲状腺功能亢进患者可危及生命的严重表现，通常见于严重的甲状腺功能亢进者在合并其他疾病时，如感染、败血症、精神应激和重大手术时。严重的甲状腺功能亢进同时合并其他疾病与甲状腺危象之间很难截然区分，因此严重甲状腺功能亢进同时合并感染、败血症等其他疾病的患者如不能区分是否是甲状腺危象，应按甲状腺危象处理。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,甲状腺功能亢进症,甲状腺功能亢进的病因及临床表现,内分泌科,内分泌系统及代谢性疾病,药物治疗,概述,3,,"甲状腺功能亢进,甲状腺,危象,Graves,甲状腺肿",385,192
甲状腺功能亢进的诊断主要包括临床高代谢的症状和体征、甲状腺肿和（或）甲状腺结节以及TT$_$、FT$_$ 、TT$_$ 、FT$_$ 升高，TSH降低。目前尚无有效地针对病因和发病机制的根治方案，对症治疗主要是控制高代谢症状，促进器官特异性自身免疫的消退。适当休息，避免过度紧张和精神刺激，补充足够的热量和营养，限制碘摄入是甲状腺功能亢进的一般治疗原则。此外，常用的治疗方法有三种：抗甲状腺药物治疗、放射性同位素碘$^$ 治疗和甲状腺次全切除术。药物治疗是甲状腺功能亢进治疗最常用的方法。放射性同位素碘$^$ 治疗和手术治疗前必须用药物控制甲状腺功能亢进，以免发生甲状腺危象。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,甲状腺功能亢进症,甲状腺功能亢进的诊断和治疗原则,内分泌科,内分泌系统及代谢性疾病,药物治疗,概述,3,,"治疗,甲状腺功能亢进,甲状腺,TT,FT",288,144
硫脲类 硫脲类药物优点是口服用药易被接受，在使病情缓解的同时不会引起腺体损伤。但此类药物疗程长、依从性差、儿童用药需家长和医师的严密监护、复发率较高、不良反应危险性大。此类药物目前常用的包括丙硫氧嘧啶（PTU）、甲巯咪唑（MMI）和卡比马唑等。硫脲类药物可用于甲状腺功能亢进内科治疗和术前准备用药。初始剂量：PTU每日300～400mg，分3或4次服用。MMI每日30～40mg，每日1或3次服用。儿童与成人服法相同，单剂量需调整。甲状腺危象或严重甲状腺功能亢进宜选用PTU，因其可阻断外周组织T$_$ 向T$_$ 转化，较MMI起效为迅速。虽然PTU的使用非常广泛，但MMI也有其特别优势。该药可以每日给药1次，可提高患者依从性。与PTU相比，等剂量条件下MMI的药效当10倍的PTU，所以MMI药效更强，所需剂量更小，但PTU不良反应低，且与剂量相关。因此，在PTU不耐受或其他临床不适用PTU的情况下可选用MMI。妊娠期间进行甲状腺功能亢进治疗时，多选用PTU，而非MMI。并且由于PTU几乎不透过胎盘屏障，也不经乳汁分泌，PTU也适用于哺乳期妇女。儿童甲状腺功能亢进的治疗应选用MMI。丙硫氧嘧啶（Propylthiouracil，PTU）： 【适应证】 （1）甲状腺功能亢进的内科治疗：适用于病情轻，甲状腺轻、中度肿大的甲状腺功能亢进患者。年龄＜20岁、妊娠甲状腺功能亢进、年老体弱或合并严重心、肝、肾疾病不能耐受手术者。不适宜手术或放疗者、手术后复发而不适于放射性碘治疗者均宜采用药物治疗，也可作为放射性碘治疗时的辅助治疗。（2）甲状腺危象的治疗：作为辅助治疗以阻断甲状腺素的合成。（3）术前准备：为了减少麻醉和术后并发症，防止术后发生甲状腺危象。【用法和用量】 口服：用药剂量应个体化。根据病情、治疗反应及甲状腺功能检查结果随时调整。每日剂量分次口服，间隔时间尽可能平均。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,甲状腺功能亢进症,治疗药物的选用,内分泌科,内分泌系统及代谢性疾病,药物治疗,治疗,3,,"PTU,MMI,甲状腺功能亢进,治疗,剂量",793,396
（1）用于甲状腺功能亢进。成人开始剂量为每次100mg，每日3次，每日最大剂量为600mg，通常在4周以后发挥作用。当症状消失，血中甲状腺激素水平接近正常后逐渐减量。大约每2～4周减药1次，减量至每日50～100mg，减至最低有效剂量每日50～100mg时维持治疗，总疗程一般为1.5～2年。治疗过程中出现甲状腺功能减退或甲状腺明显增大时可酌情加用左甲状腺素或甲状腺片。儿童开始剂量为每日按体重4mg/kg，分次口服，维持量酌减。（2）用于甲状腺危象。每日400～800mg，分3次服用，疗程不超过1周，作为综合性治疗措施之一。（3）甲状腺功能亢进术前准备。每次100mg，每日3次，使甲状腺功能恢复到正常或接近正常，然后加服2周碘剂再进行手术。【不良反应】 多发生在用药初始的2个月。一般不良反应为胃肠道反应、关节痛、头痛、皮疹、药物热等。血液不良反应为轻度白细胞计数减少，严重粒细胞缺乏、血小板计数减少、脉管炎和红斑狼疮样综合征。罕见间质性肺炎、肾炎、黄疸、肝功能损害、免疫功能紊乱等。【注意事项】 （1）本品可透过胎盘屏障，并引起胎儿甲状腺功能减退及甲状腺肿大，甚至在分娩时造成难产、窒息。因此，对患甲状腺功能亢进的妊娠妇女宜采应用最小有效剂量的抗甲状腺药。本品可由乳汁分泌，可引起婴儿甲状腺功能减退，在哺乳期间应停止哺乳。（2）小儿用药应根据病情调节用量，老年人尤其肾功能减退者，用药量应减少。甲状腺功能亢进控制后及时减量，用药过程中应加用甲状腺素，避免出现甲状腺功能减退。（3）外周血白细胞计数偏低、对硫脲类药过敏者慎用。如出现粒细胞缺乏或肝炎的症状和体征，应停止用药。（4）老年患者发生血液不良反应的危险性增加，若中性粒细胞少于1.5×10$_$ /L应即停药。【禁忌证】 （1）对本品及其他硫脲类药过敏者。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,甲状腺功能亢进症,治疗药物的选用,内分泌科,内分泌系统及代谢性疾病,药物治疗,临床表现,3,,"甲状腺,甲状腺功能亢进,100mg,每日,剂量",760,380
（2）严重肝肾功能损害、严重粒细胞缺乏、结节性甲状腺肿伴甲状腺功能亢进者、甲状腺瘤者。甲巯咪唑（Thiamazole）： 【适应证】 【注意事项】 同丙硫氧嘧啶。【用法和用量】 口服。（1）用于甲状腺功能亢进。成人开始每日30mg，可按病情轻重调节为每日30～45mg，每日最大量60mg，一般均分3次口服，但也可每日单次顿服。病情控制后，逐渐减量，1次减量每日5～10mg。维持量为每日5～15mg，疗程一般1～1.5年。（2）用于儿童甲状腺功能亢进。开始时剂量为每日按体重0.4mg/kg，最大剂量为30mg，分次口服。维持量约减半或按病情轻重调节。【不良反应】 常见皮疹、瘙痒、白细胞计数减少。少见严重粒细胞缺乏、血小板计数减少、凝血因子Ⅱ和Ⅶ降低。可见味觉减退、恶心、呕吐、上腹不适、关节痛、脉管炎等。【禁忌证】 对本品过敏者、哺乳期妇女。碘剂 碘剂起效迅速，对于甲状腺危象患者是较好的选择。碘剂按常规应用于甲状腺手术前10～14d，可减少腺体血供并增加腺体硬度使其易于切除。手术前碘剂可与β受体阻断剂或硫脲类药物先后或联合使用。此外，碘剂在硫脲类药物起效之前，可用于缓解甲状腺功能亢进的症状，用于甲状腺危象的抢救。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,甲状腺功能亢进症,治疗药物的选用,内分泌科,内分泌系统及代谢性疾病,药物治疗,临床表现,3,,"碘剂,甲状腺功能亢进,每日,甲状腺,口服",512,256
糖尿病是以慢性高血糖为特征的一组异质性代谢性疾病，由胰岛素分泌缺陷和（或）胰岛素作用缺陷所引起，以慢性高血糖伴碳水化合物、脂肪和蛋白质的代谢障碍为特征。在过去20多年，世界糖尿病患者数量持续增长，并且预计将来还会继续增加。2007---2008年应用糖耐量筛查全国部分城市20岁以上人群结果显示2型糖尿病患病率高达11％以上。糖尿病的病因及临床表现 大部分糖尿病患者可按照病因、发病机制分为1型和2型糖尿病。1型糖尿病的主要病因是由于自身免疫对胰岛β细胞破坏后造成胰岛素分泌的绝对缺乏，故1型糖尿病患者需要以胰岛素治疗来维持生命。2型糖尿病的发生是由于胰岛素分泌减少或是外周胰岛素抵抗，可表现为以胰岛素抵抗为主伴胰岛素相对缺乏，或胰岛素分泌缺陷为主伴或不伴胰岛素抵抗。引起糖尿病的主要病因有遗传因素、环境因素和免疫因素等。1型糖尿病绝大多数为自身免疫性糖尿病，遗传缺陷是1型糖尿病的发病基础。而少部分1型糖尿病患者为特发性糖尿病，以病毒感染最为重要，已经发现的有腮腺炎病毒、柯萨奇病毒、风疹病毒、巨细胞病毒等。2型糖尿病有明显的遗传异质性，并受到多种环境因素的影响，如肥胖、年龄增加、生活方式等。妊娠也可能导致糖尿病，但多数患者于分娩后可恢复正常，近30％的患者于5～10年随访中转变为糖尿病。临床上早期无症状，至症状期才有多食、多饮、多尿、烦渴、善饥、消瘦或肥胖、疲乏无力等症群，即“三多一少”症状。严重病例或应激时可发生酮症酸中毒（diabetic ketoacidosis，DKA）和高渗性高血糖状态。慢性并发症包括大血管和微血管病变，大血管病变如动脉粥样硬化、冠心病、高血压、脑血管疾病、周围血管疾病、糖尿病足等。微血管病变如糖尿病肾病、糖尿病视网膜病变、糖尿病神经病变等。糖尿病的诊断和治疗原则 糖尿病的诊断依据血糖水平确定，常用标准为1999年WHO糖尿病诊断标准，如表所示。,临床药物治疗学\content\chap18.tex,内分泌系统及代谢性疾病的药物治疗,糖尿病,,内分泌科,内分泌系统及代谢性疾病,药物治疗,概述,2,,"糖尿病,胰岛素,患者,高血糖,病因",794,397
