content,source_file,chapter,section,subsection,department,system_category,content_type,chunk_type,hierarchy_level,parent_chunk,keywords,char_count,token_count
药物学和临床药物治疗学的发展简史 药物（drug）是指用于预防、治疗、诊断人的疾病，有目的地调节人的生理功能并规定有适应证或者功能主治、用法和用量的物质。药物并非现代社会所特有，事实上，远古时代人们为了生存，从生活经验中得知某些天然物质可以治疗疾病与伤痛，这就是药物的起源。公元1世纪前后，我国的《神农本草经》及埃及的《埃伯斯医药籍》等这些巨著的出现，表明药物的发展已经开始从简单的经验逐步上升到理论系统的高度。此后，许多科学家开始从天然的动植物中提炼具有活性成分的物质，如意大利生理学家F．Fontana（1720---1805）通过动物实验对千余种药物进行了毒性测试，推断天然药物都有其活性成分。德国化学家F．W．Serturner（1783---1841）首先从罂粟中分离提纯吗啡，并用犬证明其具镇痛作用，1823年又在金鸡纳树皮中发现了奎宁。诸如此类的发现，使得药物的发展越来越迅速，药物的品种开始极大地丰富。第二次世界大战结束后，出现了许多前所未有的药理新领域及新药，如抗生素、抗癌药、抗精神病药、抗高血压药、抗组胺药和抗肾上腺素药等。药物的发展已经逐步形成一门学科，即药物学。药物的快速发展，给药物治疗学带来极大的益处，药物治疗也随着药物的发展，逐步从经验治疗过渡至实验研究，到现在人们已开始深入研究，给临床治疗带来很大帮助。随着人们的重视，逐步开始形成一门独立的学科，即临床药物治疗学。临床药物治疗学（clinical pharmacotherapeutics）是通过应用药物治疗的手段，针对疾病的发生、发展情况和患者的生理病理状况，制定和实施合理的药物治疗方案，达到消除疾病或控制症状，从而减轻或解除患者痛苦的一门学科。它是临床治疗中一个重要的组成部分。,临床药物治疗学\content\chap01.tex,绪论,概述,,心血管内科,心血管系统疾病,药物治疗,概述,2,,"药物,治疗学,治疗,临床,发展",735,367
虽然药物学的发展给药物治疗学带来极大帮助，但是直到20世纪70年代末才真正独立形成一门学科进入教学系统，至此，临床药物治疗学开始蓬勃发展起来。1980年，美国为其在读药学博士（Pharm．D）开设药物治疗学课程。世界著名的“ ”杂志于1981年在美国创刊。世界卫生组织于1982年成立了一个基本药物应用专家委员会，对临床合理应用基本药物提出了原则性的指导意见。1980年8月，国际药理联合会和英国药理学会在伦敦联合召开了第一届国际临床药理与治疗学会议，以后每隔3～4年召开一次。如第七届临床药理与治疗学会议于2000年7月在意大利召开，第八届于2004年在澳大利亚召开，第九届于2008年在加拿大召开。1996年中国创刊了《中国临床药理学与治疗学》杂志，表明我国也开始逐步重视并开展临床药物治疗学这门学科。临床药物治疗学的目的和方法 临床药物治疗学的目的 临床药物治疗学是运用药学相关学科（如药理学、临床药理学、生物药剂学等）基础知识，针对疾病的病因和临床发展过程，结合患者的病理、生理、心理和遗传特征，研究疾病临床治疗实践中药物合理应用的策略。其目的在于对患特定疾病的特定患者，制定和实施合理的个体化药物治疗方案，以获得最佳的治疗效果并承受最低的治疗风险。临床药物治疗学的原则和方法 临床药物治疗学的核心是合理用药（rational drug use）。随着现代科学技术的发展和药物品种的增加，合理用药需要更科学、更完整的含义。合理用药即以当代药物和疾病的系统知识和理论为基础，安全、有效、经济、适当地使用药物。有效性是指药物的治疗效果必须确切。安全性是指药物在正常剂量下不会造成严重危害，是个相对的概念。适当性是指将适当的药物以适当的剂量，在适当的时间，经适当的途径，给适当的患者，使用适当的疗程，达到适当的治疗目标。,临床药物治疗学\content\chap01.tex,绪论,概述,,心血管内科,心血管系统疾病,药物治疗,概述,2,,"治疗学,药物,临床,适当,药理学",761,380
合理用药的判断标准包括①按药物的临床用药适应证选用药物，药物的药理作用能针对疾病的病因和病理生理改变。②所选用的药物对患者具备有效、安全、经济和适当四个方面的要素。③在明确遗传多态性与药物反应多态性的基础上，采用个体化给药方案，确定临床用药剂量、用法、疗程，药物调剂配伍恰当。④患者应无禁忌证，所用治疗药物对患者引发不良反应的可能性最低或易于控制、纠正。⑤患者对临床所用的药物具有良好的依从性。药物治疗，应以“安全、经济、有效”为中心，始终贯彻预防为主、防治结合的原则，但有时病情复杂多变，有时进展迅速。因此，在这一原则下做好药物治疗工作，应对千变万化的情况，医师除了有高度的责任心外，还需要做到以下几点。（1）以患者为中心，标本兼治。“本”是疾病的病因，是本质。如果患者有充足的时间，病情发展缓慢，医师则应全力寻找病因，力求根治疾病。“标”是疾病的症状，是表象。但这并不说明治标不重要，有些病情起病急骤，危及生命，应先迅速缓解症状，控制症状，才能赢得时间来寻找病因。如有可能，应“标”“本”同治。药师应根据病情轻重缓急，透过现象看本质，抓住矛盾的主体，又要随时注意矛盾的转化。（2）始终贯彻个体化原则。由于患者年龄、性别、体重、生理状况、环境因素、病情程度、病变范围、病程阶段、肝肾功能、并发症、既往治疗的反应，以及对药物的吸收、代谢、排泄率的不同，治疗方案也应有所不同。如患者肾功能不全时，通过肾脏代谢排泄的药物剂量应及时调整，以避免肾功能的进一步恶化。（3）树立发展的观点。患者的病情随时变化，现代医学对一些疾病的观点也在变化，甚至一些药物的适应证也在变化，也有一些药物在上市后因发现了严重不良反应而退出市场，药师在这些千变万化的医疗信息中，如何进行选择后树立发展的观点，这对药物治疗的未来和对临床药师的未来和发展，都有着至关重要的地位。,临床药物治疗学\content\chap01.tex,绪论,概述,,心血管内科,心血管系统疾病,药物治疗,概述,2,,"药物,患者,病情,治疗,药师",772,386
只有树立了发展的观念，对各种医疗信息及时了解，才能在临床医学团队中占有一席之地而不被淘汰。临床药物治疗学与其他相关学科的关系 药理学与临床药物治疗学的关系 药理学与临床药物治疗学都是研究药物与人体相互作用的科学，但各有侧重。药理学侧重于药物作用的理论研究。而临床药物治疗学侧重于研究药物的应用问题，着重研究在疾病防治中选择药物和用药方法以及制定药物治疗方案等实际问题。药理学是临床药物治疗学的理论基础，临床药物治疗学是药理学理论在临床的实际应用。内科学与临床药物治疗学的关系 内科学是研究疾病的临床表现、诊断、鉴别诊断和治疗原则的一门综合学科。医师既要重视对疾病临床表现（如症状、体征、物理和生化检查的改变、疾病的分类或分型等）的诊断和分析，又要合理选择治疗手段（介入或手术治疗、物理治疗、药物治疗）。因此，对千变万化的疾病和千差万别的个体，如何正确地选择和使用药物，往往力不从心，从而出现许多不合理的用药现象。在发达国家医疗机构的医学团队中，疾病的药物治疗由临床医师和药师共同负责，医师更关注诊断和分析疾病，药师更关注合理用药。我国多数医疗机构没有设置临床药师的岗位，即使在设有临床药师的医院，无论是体制因素还是知识储备，临床药师都还不能做到与医师共同负责对患者的药物治疗，他们还需要进一步学习和发展。临床药物治疗学的发展和未来 循证医学和临床药物治疗学 循证医学（evidence based medicine，EBM）是指有意识地、明确地、审慎地利用现有最好的研究证据制定关于个体患者的诊治方案。EBM的核心思想是在临床医疗实践中，尽管有些经验可能是正确的，但对患者的诊治决策都应依赖于客观的科学证据，而不是某些个人的主观经验。EBM为合理药物治疗提供了更加科学的证据，为评价疾病治疗的效果提供了可靠依据，但是其结论来自临床药物治疗学的研究和实践。,临床药物治疗学\content\chap01.tex,绪论,概述,,心血管内科,心血管系统疾病,药物治疗,概述,2,,"药物,治疗学,临床,治疗,药理学",777,388
EBM是寻求、应用证据的医学，它更强调的是一种医学研究和疾病治疗的唯物思想。循证医学应用到临床药物治疗学中，就是尽可能应用对药物疗效和不良反应评价最佳的证据，制定对患者的用药方案。药物基因组学与临床药物治疗学 药物基因组学（pharmacogenomics）是根据生物多样性理论，利用基因组学的技术与方法，研究药物作用相关基因，阐述药物作用相关基因的多态性造成的药动学和药效学的变化，从而在理论上指导新药研制中的优化药物设计和临床用药时的药物个体差异预测。药物基因组学可以帮助人们确定不同个体对药物的不同反应，如哪种药物对哪个患者有效，哪种药物对哪个患者无效，哪种药物对哪个患者有害，从而指导临床用药，避免用药的盲目性，减少药物不良反应，提供个体化给药方案。有些药物在使用中出现特异性反应，经诊断明确属于遗传变异，则需避免使用能引起不良反应的同种药物，或调整剂量。如黄种人的慢乙酰化发生率约为10％～20％，故在应用异烟肼时注意调整剂量或加服维生素B ，防止多发性神经炎。甲基结合酶缺乏者应用头孢菌素易引起低凝血酶原症。药物基因组学的迅猛发展，必定给未来的临床合理用药带来质的飞跃。,临床药物治疗学\content\chap01.tex,绪论,概述,,心血管内科,心血管系统疾病,药物治疗,概述,2,,"药物,基因组学,用药,临床,应用",491,245
药物（drug）是指用于预防、治疗、诊断人的疾病，有目的地调节人的生理功能并规定有适应证或者功能主治、用法和用量的物质。药物并非现代社会所特有，事实上，远古时代人们为了生存，从生活经验中得知某些天然物质可以治疗疾病与伤痛，这就是药物的起源。公元1世纪前后，我国的《神农本草经》及埃及的《埃伯斯医药籍》等这些巨著的出现，表明药物的发展已经开始从简单的经验逐步上升到理论系统的高度。此后，许多科学家开始从天然的动植物中提炼具有活性成分的物质，如意大利生理学家F．Fontana（1720---1805）通过动物实验对千余种药物进行了毒性测试，推断天然药物都有其活性成分。德国化学家F．W．Serturner（1783---1841）首先从罂粟中分离提纯吗啡，并用犬证明其具镇痛作用，1823年又在金鸡纳树皮中发现了奎宁。诸如此类的发现，使得药物的发展越来越迅速，药物的品种开始极大地丰富。第二次世界大战结束后，出现了许多前所未有的药理新领域及新药，如抗生素、抗癌药、抗精神病药、抗高血压药、抗组胺药和抗肾上腺素药等。药物的发展已经逐步形成一门学科，即药物学。药物的快速发展，给药物治疗学带来极大的益处，药物治疗也随着药物的发展，逐步从经验治疗过渡至实验研究，到现在人们已开始深入研究，给临床治疗带来很大帮助。随着人们的重视，逐步开始形成一门独立的学科，即临床药物治疗学。临床药物治疗学（clinical pharmacotherapeutics）是通过应用药物治疗的手段，针对疾病的发生、发展情况和患者的生理病理状况，制定和实施合理的药物治疗方案，达到消除疾病或控制症状，从而减轻或解除患者痛苦的一门学科。它是临床治疗中一个重要的组成部分。虽然药物学的发展给药物治疗学带来极大帮助，但是直到20世纪70年代末才真正独立形成一门学科进入教学系统，至此，临床药物治疗学开始蓬勃发展起来。,临床药物治疗学\content\chap01.tex,绪论,概述,药物学和临床药物治疗学的发展简史,心血管内科,心血管系统疾病,药物治疗,概述,3,,"药物,治疗学,治疗,临床,一门",789,394
1980年，美国为其在读药学博士（Pharm．D）开设药物治疗学课程。世界著名的“ ”杂志于1981年在美国创刊。世界卫生组织于1982年成立了一个基本药物应用专家委员会，对临床合理应用基本药物提出了原则性的指导意见。1980年8月，国际药理联合会和英国药理学会在伦敦联合召开了第一届国际临床药理与治疗学会议，以后每隔3～4年召开一次。如第七届临床药理与治疗学会议于2000年7月在意大利召开，第八届于2004年在澳大利亚召开，第九届于2008年在加拿大召开。1996年中国创刊了《中国临床药理学与治疗学》杂志，表明我国也开始逐步重视并开展临床药物治疗学这门学科。,临床药物治疗学\content\chap01.tex,绪论,概述,药物学和临床药物治疗学的发展简史,心血管内科,心血管系统疾病,药物治疗,概述,3,,"治疗学,召开,药物,1980,临床药理",282,141
临床药物治疗学的目的 临床药物治疗学是运用药学相关学科（如药理学、临床药理学、生物药剂学等）基础知识，针对疾病的病因和临床发展过程，结合患者的病理、生理、心理和遗传特征，研究疾病临床治疗实践中药物合理应用的策略。其目的在于对患特定疾病的特定患者，制定和实施合理的个体化药物治疗方案，以获得最佳的治疗效果并承受最低的治疗风险。临床药物治疗学的原则和方法 临床药物治疗学的核心是合理用药（rational drug use）。随着现代科学技术的发展和药物品种的增加，合理用药需要更科学、更完整的含义。合理用药即以当代药物和疾病的系统知识和理论为基础，安全、有效、经济、适当地使用药物。有效性是指药物的治疗效果必须确切。安全性是指药物在正常剂量下不会造成严重危害，是个相对的概念。适当性是指将适当的药物以适当的剂量，在适当的时间，经适当的途径，给适当的患者，使用适当的疗程，达到适当的治疗目标。合理用药的判断标准包括①按药物的临床用药适应证选用药物，药物的药理作用能针对疾病的病因和病理生理改变。②所选用的药物对患者具备有效、安全、经济和适当四个方面的要素。③在明确遗传多态性与药物反应多态性的基础上，采用个体化给药方案，确定临床用药剂量、用法、疗程，药物调剂配伍恰当。④患者应无禁忌证，所用治疗药物对患者引发不良反应的可能性最低或易于控制、纠正。⑤患者对临床所用的药物具有良好的依从性。药物治疗，应以“安全、经济、有效”为中心，始终贯彻预防为主、防治结合的原则，但有时病情复杂多变，有时进展迅速。因此，在这一原则下做好药物治疗工作，应对千变万化的情况，医师除了有高度的责任心外，还需要做到以下几点。（1）以患者为中心，标本兼治。“本”是疾病的病因，是本质。如果患者有充足的时间，病情发展缓慢，医师则应全力寻找病因，力求根治疾病。“标”是疾病的症状，是表象。,临床药物治疗学\content\chap01.tex,绪论,概述,临床药物治疗学的目的和方法,心血管内科,心血管系统疾病,药物治疗,概述,3,,"药物,临床,适当,患者,治疗",776,388
但这并不说明治标不重要，有些病情起病急骤，危及生命，应先迅速缓解症状，控制症状，才能赢得时间来寻找病因。如有可能，应“标”“本”同治。药师应根据病情轻重缓急，透过现象看本质，抓住矛盾的主体，又要随时注意矛盾的转化。（2）始终贯彻个体化原则。由于患者年龄、性别、体重、生理状况、环境因素、病情程度、病变范围、病程阶段、肝肾功能、并发症、既往治疗的反应，以及对药物的吸收、代谢、排泄率的不同，治疗方案也应有所不同。如患者肾功能不全时，通过肾脏代谢排泄的药物剂量应及时调整，以避免肾功能的进一步恶化。（3）树立发展的观点。患者的病情随时变化，现代医学对一些疾病的观点也在变化，甚至一些药物的适应证也在变化，也有一些药物在上市后因发现了严重不良反应而退出市场，药师在这些千变万化的医疗信息中，如何进行选择后树立发展的观点，这对药物治疗的未来和对临床药师的未来和发展，都有着至关重要的地位。只有树立了发展的观念，对各种医疗信息及时了解，才能在临床医学团队中占有一席之地而不被淘汰。,临床药物治疗学\content\chap01.tex,绪论,概述,临床药物治疗学的目的和方法,心血管内科,心血管系统疾病,药物治疗,概述,3,,"药物,药师,病情,树立,患者",435,217
药理学与临床药物治疗学的关系 药理学与临床药物治疗学都是研究药物与人体相互作用的科学，但各有侧重。药理学侧重于药物作用的理论研究。而临床药物治疗学侧重于研究药物的应用问题，着重研究在疾病防治中选择药物和用药方法以及制定药物治疗方案等实际问题。药理学是临床药物治疗学的理论基础，临床药物治疗学是药理学理论在临床的实际应用。内科学与临床药物治疗学的关系 内科学是研究疾病的临床表现、诊断、鉴别诊断和治疗原则的一门综合学科。医师既要重视对疾病临床表现（如症状、体征、物理和生化检查的改变、疾病的分类或分型等）的诊断和分析，又要合理选择治疗手段（介入或手术治疗、物理治疗、药物治疗）。因此，对千变万化的疾病和千差万别的个体，如何正确地选择和使用药物，往往力不从心，从而出现许多不合理的用药现象。在发达国家医疗机构的医学团队中，疾病的药物治疗由临床医师和药师共同负责，医师更关注诊断和分析疾病，药师更关注合理用药。我国多数医疗机构没有设置临床药师的岗位，即使在设有临床药师的医院，无论是体制因素还是知识储备，临床药师都还不能做到与医师共同负责对患者的药物治疗，他们还需要进一步学习和发展。,临床药物治疗学\content\chap01.tex,绪论,概述,临床药物治疗学与其他相关学科的关系,心血管内科,心血管系统疾病,药物治疗,概述,3,,"药物,临床,治疗学,药理学,药师",489,244
