content,source_file,chapter,section,subsection,department,system_category,content_type,chunk_type,hierarchy_level,parent_chunk,keywords,char_count,token_count
巴比妥类药物中毒 中毒机制 巴比妥类药物主要阻断脑干网状结构上行激活系统，有剂量-效应关系：因剂量而异，而依次产生镇静、催眠、抗惊厥和中枢麻痹作用。急性中毒时以中枢神经抑制为主，且明显影响呼吸、心血管及消化系统。临床表现 急性巴比妥类中毒患者，中枢神经系统高度抑制，患者感觉迟缓，言语不清，定向力障碍至深度昏迷，并出现周期性脑电图异常，瞳孔扩大，角膜、咽及腱反射消失。大剂量巴比妥类可降低延髓呼吸中枢对二氧化碳分压和pH值变化的敏感性，使呼吸抑制。后期可使心肌收缩力减弱，心排出量下降，且降低外周血管肌弹性，增加血管通透性和静脉瘀血，减少回心血量，进一步降低心排出量，导致体温下降、低血压、少尿或无尿，最终因呼吸、循环和肾衰竭死亡。治疗原则 洗胃及导泻 对服药量大且未超过4～6h者应用1∶5000高锰酸钾溶液或清水洗胃。用硫酸钠20～30g导泻（忌用硫酸镁，因镁离子吸收而加重中枢神经系统的抑制），也可用20％的药用炭悬液。一般处理 常规吸氧，补液维持水、电解质及酸碱平衡，循环不稳定可使用血管活性药物。呼吸衰竭可气管插管及机械通气。防治肺部感染、脑水肿、休克等并发症。血液净化 血液透析是有效方法，对服药剂量大、昏迷程度深、洗胃不彻底的患者更应尽早实施，有条件可行血液灌流，如患者不宜搬动也可用腹膜透析。药物治疗 中枢兴奋剂 对深度昏迷、呼吸浅或不规则，选用下列药物。（1）贝美格（乙甲哌啶二酮）：能直接兴奋呼吸中枢及血管运动中枢，使呼吸增加，血压微升。50mg稀释于葡萄糖注射液中静脉滴注，密切观察，如出现恶心、呕吐、肌肉颤抖等中毒症状需减量或停药。（2）尼可刹米：静脉注射0.375～0.75g/h，直至角膜反射与肌肉颤抖出现。（3）纳洛酮：0.4～0.8mg加入葡萄糖注射液中静脉滴注，直至呼吸或（和）意识状态明显改善。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,常见药物中毒,,急诊科,急诊医学,药物治疗,临床表现,2,,"呼吸,巴比,中枢,妥类,剂量",765,382
中枢兴奋剂量过大可引起惊厥或出现心律失常，加重呼吸、循环衰竭，凡遇肌张力及反射恢复或出现肌肉震颤等情况均应减量或停药。利尿剂 巴比妥钠和苯巴比妥主要从肾脏排出，在补充血容量后用20％甘露醇250mL静脉滴注，每8～12h 1次，对合并颅内高压者尤为适合。亦可间断静脉注射呋塞米20～40mg。静脉滴注5％碳酸氢钠碱化尿液，可促进药物排泄。阿片类药物中毒 中毒机制 阿片类药物主要包括阿片，吗啡、可待因、复方樟脑酊和罂粟碱等，以吗啡为代表。吗啡可抑制大脑高级中枢而昏迷，随即抑制延脑呼吸中枢导致呼吸抑制。同时兴奋催吐化学感受器产生恶心、呕吐，兴奋脊髓，使肠道平滑肌、括约肌张力增强，降低胃肠蠕动产生便秘，对支气管、输尿管和胆管平滑肌的收缩作用导致尿潴留、胆绞痛。兴奋动眼神经缩瞳核，产生针尖样瞳孔。当大剂量吗啡中毒后抑制延脑血管运动中枢，释放组胺，使周围组织血管扩张导致心动过缓、低血压状态以至休克。临床表现 轻者有头痛头晕、恶心呕吐、兴奋或抑制、幻想、时间和空间感消失，以及血糖浓度增高。重者发绀、面色苍白、肌肉无力，有昏迷、针尖样瞳孔、呼吸抑制“三联征”特点，惊厥、牙关紧闭、角弓反张，呼吸先浅而慢，后叹息样或潮式呼吸、肺水肿、休克、瞳孔对光反射消失，死于呼吸衰竭。治疗原则 清除毒物 首先明确中毒途径，以便迅速排出毒物。采取洗胃和导泻的方法阻止毒物的吸收。应用利尿剂或高渗葡萄糖注射液尽快促使毒物排出体外。对症支持疗法 （1）维持水、电解质、酸碱、血气平衡，调整体循环容量，保持足够尿量。（2）纠正非心源性肺水肿。因纳洛酮对非心源性肺水肿无作用，主要靠维持呼吸道通畅，确保氧疗效果，必须不失时机的气管插管，气管切开，应用呼吸机，给以呼气末正压人工呼吸方可有效纠正肺水肿。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,常见药物中毒,,急诊科,急诊医学,药物治疗,临床表现,2,,"呼吸,肺水肿,毒物,中枢,抑制",737,368
药物治疗 特效解毒剂 （1）纳洛酮：阿片受体拮抗剂，对阿片受体亲和力大于吗啡类药物，阻止吗啡样物质与受体结合，用药后迅速逆转阿片类药物所致的昏迷，呼吸抑制、缩瞳等毒性作用。首次量为每次0.4～0.8mg，肌肉注射或静脉注射，10～20min重复，直至呼吸恢复正常或总量达10mg后，视病情减量。（2）烯丙吗啡：别名烯丙吗啡，对抗吗啡作用，首次剂量为5～10mg肌肉注射或静脉注射，必要时20min重复1次，总量不超过40mg。中枢呼吸兴奋剂 （1）安钠咖（苯甲酸钠咖啡因）：0.5g肌肉注射，每4小时1次。尼可刹米0.25～0.5g静脉注射或肌肉注射。（2）严格禁用士的宁、印防己毒素等中枢兴奋剂，因其与吗啡对脊髓兴奋起协同作用而引起惊厥。吩噻嗪类药物中毒 中毒机制 吩噻嗪药物主要作用于网状结构，抑制中枢神经系统多巴胺受体，以减轻焦虑紧张、幻觉妄想和病理性思维等精神症状。抑制脑干血管运动和呕吐反射，以及阻断α肾上腺素能受体、抗组胺及抗胆碱能等作用。药物过量引起过度抗多巴胺作用使乙酰胆碱相对占优势，出现锥体外系兴奋症状。抗α肾上腺素能受体作用引起低血压甚至休克。临床表现 神经系统可表现为抽搐、昏迷和反射消失，锥体外系兴奋症状如震颤麻痹综合征、静坐不能及强直反应等。心血管系统主要表现为心动过速、心律失常、低血压甚至休克等。治疗原则 （1）口服中毒未超过6h者，用1∶5000高锰酸钾溶液或温开水洗胃，硫酸镁导泻。（2）应平卧，尽量少搬动头部，避免体位性低血压。血压过低时，可选用间羟胺等升压药物。（3）静注高渗葡萄糖或右旋糖酐，促进利尿，排泄毒物，输出量不可过多，以预防心力衰竭和肺水肿。药物治疗 本类药物尚无特效解毒剂，治疗以对症及支持为主。中枢神经系统抑制较重时可用苯丙胺、咖啡因等。如进入昏迷状态，可用哌甲酯（40～100mg）肌注，必要时每0.5～1h重复应用，直至苏醒。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,常见药物中毒,,急诊科,急诊医学,药物治疗,概述,2,,"吗啡,受体,肌肉注射,药物,0.5",793,396
如有震颤麻痹综合征可选用苯海索（安坦）、东莨菪碱等。若有肌肉痉挛及张力障碍，可用苯海拉明25～50mg口服或肌注20～40mg。血压过低可选用间羟胺及去氧肾上腺素等α受体兴奋剂，禁用异丙基肾上腺素、多巴胺等β受体兴奋剂，避免加重低血压（因周围β肾上腺素能有血管扩张作用）。心律失常应用利多卡因纠正。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,常见药物中毒,,急诊科,急诊医学,药物治疗,治疗,2,,"肾上腺素,兴奋剂,受体,选用,安坦",149,74
中毒机制 巴比妥类药物主要阻断脑干网状结构上行激活系统，有剂量-效应关系：因剂量而异，而依次产生镇静、催眠、抗惊厥和中枢麻痹作用。急性中毒时以中枢神经抑制为主，且明显影响呼吸、心血管及消化系统。临床表现 急性巴比妥类中毒患者，中枢神经系统高度抑制，患者感觉迟缓，言语不清，定向力障碍至深度昏迷，并出现周期性脑电图异常，瞳孔扩大，角膜、咽及腱反射消失。大剂量巴比妥类可降低延髓呼吸中枢对二氧化碳分压和pH值变化的敏感性，使呼吸抑制。后期可使心肌收缩力减弱，心排出量下降，且降低外周血管肌弹性，增加血管通透性和静脉瘀血，减少回心血量，进一步降低心排出量，导致体温下降、低血压、少尿或无尿，最终因呼吸、循环和肾衰竭死亡。治疗原则 洗胃及导泻 对服药量大且未超过4～6h者应用1∶5000高锰酸钾溶液或清水洗胃。用硫酸钠20～30g导泻（忌用硫酸镁，因镁离子吸收而加重中枢神经系统的抑制），也可用20％的药用炭悬液。一般处理 常规吸氧，补液维持水、电解质及酸碱平衡，循环不稳定可使用血管活性药物。呼吸衰竭可气管插管及机械通气。防治肺部感染、脑水肿、休克等并发症。血液净化 血液透析是有效方法，对服药剂量大、昏迷程度深、洗胃不彻底的患者更应尽早实施，有条件可行血液灌流，如患者不宜搬动也可用腹膜透析。药物治疗 中枢兴奋剂 对深度昏迷、呼吸浅或不规则，选用下列药物。（1）贝美格（乙甲哌啶二酮）：能直接兴奋呼吸中枢及血管运动中枢，使呼吸增加，血压微升。50mg稀释于葡萄糖注射液中静脉滴注，密切观察，如出现恶心、呕吐、肌肉颤抖等中毒症状需减量或停药。（2）尼可刹米：静脉注射0.375～0.75g/h，直至角膜反射与肌肉颤抖出现。（3）纳洛酮：0.4～0.8mg加入葡萄糖注射液中静脉滴注，直至呼吸或（和）意识状态明显改善。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,常见药物中毒,巴比妥类药物中毒,急诊科,急诊医学,药物治疗,临床表现,3,,"呼吸,中枢,剂量,巴比,中毒",756,378
中枢兴奋剂量过大可引起惊厥或出现心律失常，加重呼吸、循环衰竭，凡遇肌张力及反射恢复或出现肌肉震颤等情况均应减量或停药。利尿剂 巴比妥钠和苯巴比妥主要从肾脏排出，在补充血容量后用20％甘露醇250mL静脉滴注，每8～12h 1次，对合并颅内高压者尤为适合。亦可间断静脉注射呋塞米20～40mg。静脉滴注5％碳酸氢钠碱化尿液，可促进药物排泄。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,常见药物中毒,巴比妥类药物中毒,急诊科,急诊医学,药物治疗,治疗,3,,"20,静脉滴注,巴比妥钠,凡遇,250mL",169,84
中毒机制 阿片类药物主要包括阿片，吗啡、可待因、复方樟脑酊和罂粟碱等，以吗啡为代表。吗啡可抑制大脑高级中枢而昏迷，随即抑制延脑呼吸中枢导致呼吸抑制。同时兴奋催吐化学感受器产生恶心、呕吐，兴奋脊髓，使肠道平滑肌、括约肌张力增强，降低胃肠蠕动产生便秘，对支气管、输尿管和胆管平滑肌的收缩作用导致尿潴留、胆绞痛。兴奋动眼神经缩瞳核，产生针尖样瞳孔。当大剂量吗啡中毒后抑制延脑血管运动中枢，释放组胺，使周围组织血管扩张导致心动过缓、低血压状态以至休克。临床表现 轻者有头痛头晕、恶心呕吐、兴奋或抑制、幻想、时间和空间感消失，以及血糖浓度增高。重者发绀、面色苍白、肌肉无力，有昏迷、针尖样瞳孔、呼吸抑制“三联征”特点，惊厥、牙关紧闭、角弓反张，呼吸先浅而慢，后叹息样或潮式呼吸、肺水肿、休克、瞳孔对光反射消失，死于呼吸衰竭。治疗原则 清除毒物 首先明确中毒途径，以便迅速排出毒物。采取洗胃和导泻的方法阻止毒物的吸收。应用利尿剂或高渗葡萄糖注射液尽快促使毒物排出体外。对症支持疗法 （1）维持水、电解质、酸碱、血气平衡，调整体循环容量，保持足够尿量。（2）纠正非心源性肺水肿。因纳洛酮对非心源性肺水肿无作用，主要靠维持呼吸道通畅，确保氧疗效果，必须不失时机的气管插管，气管切开，应用呼吸机，给以呼气末正压人工呼吸方可有效纠正肺水肿。药物治疗 特效解毒剂 （1）纳洛酮：阿片受体拮抗剂，对阿片受体亲和力大于吗啡类药物，阻止吗啡样物质与受体结合，用药后迅速逆转阿片类药物所致的昏迷，呼吸抑制、缩瞳等毒性作用。首次量为每次0.4～0.8mg，肌肉注射或静脉注射，10～20min重复，直至呼吸恢复正常或总量达10mg后，视病情减量。（2）烯丙吗啡：别名烯丙吗啡，对抗吗啡作用，首次剂量为5～10mg肌肉注射或静脉注射，必要时20min重复1次，总量不超过40mg。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,常见药物中毒,阿片类药物中毒,急诊科,急诊医学,药物治疗,临床表现,3,,"吗啡,呼吸,肺水肿,抑制,阿片",773,386
中枢呼吸兴奋剂 （1）安钠咖（苯甲酸钠咖啡因）：0.5g肌肉注射，每4小时1次。尼可刹米0.25～0.5g静脉注射或肌肉注射。（2）严格禁用士的宁、印防己毒素等中枢兴奋剂，因其与吗啡对脊髓兴奋起协同作用而引起惊厥。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,常见药物中毒,阿片类药物中毒,急诊科,急诊医学,药物治疗,治疗,3,,"0.5,肌肉注射,兴奋剂,中枢,尼可刹米",107,53
中毒机制 吩噻嗪药物主要作用于网状结构，抑制中枢神经系统多巴胺受体，以减轻焦虑紧张、幻觉妄想和病理性思维等精神症状。抑制脑干血管运动和呕吐反射，以及阻断α肾上腺素能受体、抗组胺及抗胆碱能等作用。药物过量引起过度抗多巴胺作用使乙酰胆碱相对占优势，出现锥体外系兴奋症状。抗α肾上腺素能受体作用引起低血压甚至休克。临床表现 神经系统可表现为抽搐、昏迷和反射消失，锥体外系兴奋症状如震颤麻痹综合征、静坐不能及强直反应等。心血管系统主要表现为心动过速、心律失常、低血压甚至休克等。治疗原则 （1）口服中毒未超过6h者，用1∶5000高锰酸钾溶液或温开水洗胃，硫酸镁导泻。（2）应平卧，尽量少搬动头部，避免体位性低血压。血压过低时，可选用间羟胺等升压药物。（3）静注高渗葡萄糖或右旋糖酐，促进利尿，排泄毒物，输出量不可过多，以预防心力衰竭和肺水肿。药物治疗 本类药物尚无特效解毒剂，治疗以对症及支持为主。中枢神经系统抑制较重时可用苯丙胺、咖啡因等。如进入昏迷状态，可用哌甲酯（40～100mg）肌注，必要时每0.5～1h重复应用，直至苏醒。如有震颤麻痹综合征可选用苯海索（安坦）、东莨菪碱等。若有肌肉痉挛及张力障碍，可用苯海拉明25～50mg口服或肌注20～40mg。血压过低可选用间羟胺及去氧肾上腺素等α受体兴奋剂，禁用异丙基肾上腺素、多巴胺等β受体兴奋剂，避免加重低血压（因周围β肾上腺素能有血管扩张作用）。心律失常应用利多卡因纠正。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,常见药物中毒,吩噻嗪类药物中毒,急诊科,急诊医学,药物治疗,概述,3,,"肾上腺素,受体,低血压,多巴胺,血压过低",613,306
乙醇又称酒精，一次饮入过量乙醇，可引起以神经精神症状为主的疾病即为急性乙醇中毒。中毒机制 乙醇具有脂溶性，可迅速透过大脑神经细胞膜，并作用于膜上的某些酶而影响细胞功能。乙醇对中枢神经系统的抑制作用，随着剂量的增加，由大脑皮质向下，通过边缘系统、小脑、网状结构到延髓。小剂量出现兴奋作用，极高浓度乙醇抑制延髓中枢引起呼吸或循环衰竭。乙醇在肝细胞内代谢生成大量还原型烟酰胺腺嘌呤二核苷酸（NADH），使还原型与氧化型比值增高（NADH/NAD），相继发生乳酸增高、酮体蓄积导致的代谢性酸中毒以及糖异生受阻所致低血糖。长期大量饮酒进食减少，可使维生素缺乏导致周围神经麻痹。乙醇刺激腺体分泌，可引起食管炎、胃炎或胰腺炎。乙醇主要在肝脏代谢、降解，代谢产生大量自由基，可引起细胞膜脂质过氧化，造成肝细胞坏死，肝功能异常。临床表现 乙醇中毒者呼出气中有浓厚的乙醇味，临床表现与患者的饮酒量、耐受性和血乙醇浓度有关。可分为兴奋期、共济失调期、昏迷期三期。（1）兴奋期：表现为头痛、欣快感、健谈、情绪不稳定、易激怒，有时可沉默、孤僻或入睡。（2）共济失调期：表现为言语不清、视物模糊，复视、眼球震颤、步态不稳、行动笨拙、共济失调等，易并发外伤。（3）昏迷期：表现为昏睡、瞳孔散大、体温降低、心率增快、血压降低、呼吸减慢并有鼾音，严重者因呼吸、循环衰竭而死亡。无乙醇耐受者清醒后，可有头痛、头晕、无力、恶心、震颤等症状，耐受者症状较轻。重症中毒患者常发生轻度酸碱平衡失调、低血糖和肺炎等并发症，严重者可发生急性肌病，表现为肌肉肿胀、疼痛或伴有肌球蛋白尿。治疗原则 （1）对一般较轻的酒醉者无须特殊治疗，可使其静卧、保暖，待自行恢复。（2）对烦躁不安、过度兴奋者可压迫舌根催吐，并肌注地西泮5～10mg。（3）对昏迷者，可静脉注射纳洛酮。,临床药物治疗学\content\chap23.tex,急性中毒的药物治疗,急性乙醇中毒,,急诊科,急诊医学,药物治疗,临床表现,2,,"乙醇,共济失调,还原型,兴奋期,昏迷",759,379
