content,source_file,chapter,section,subsection,department,system_category,content_type,chunk_type,hierarchy_level,parent_chunk,keywords,char_count,token_count
病毒性肝炎是由几种不同的嗜肝病毒（肝炎病毒）引起的，以肝脏炎症和坏死病变为主的一组全身感染性疾病。该病具有传染性较强、传播途径复杂、流行面广泛、发病率高等特点。目前已确定的病毒性肝炎共有5型，分别为甲、乙、丙、丁和戊型，其他如庚型肝炎病毒、输血传播病毒，目前尚未被确定为嗜肝病毒。我国是病毒性肝炎的高发区，本章主要介绍乙型病毒性肝炎的药物治疗。病因及发病机制 病毒性肝炎是由几种不同的嗜肝病毒引起的肝脏损伤和炎症的传染性肝病。在已确定的5种肝炎病毒中，甲型和戊型肝炎通过粪口途径传播，起病急、病程短、能够自愈，不会转变为慢性肝炎。乙型、丙型和丁型肝炎主要通过输血、血制品、注射和母婴间传染，起病时症状不明显，可演变成慢性，并可发展为肝硬化和原发性肝癌。乙型肝炎的发病机制：人体受到乙型肝炎病毒（HBV）感染后，可出现不同的结局，其机制尚不完全清楚，主要由病毒和宿主之间的相互作用所决定。由于HBV不会直接引起肝细胞损害，故目前认为乙型肝炎的发病主要与宿主的免疫应答有关。临床表现 HBV感染的潜伏期为30～160d，平均为60～90d，临床类型呈多样化，可表现为急性肝炎、慢性肝炎、肝功能衰竭、淤胆型肝炎或HBV慢性携带等。95％的成人HBV感染可以最终痊愈，伴有血清HBsAg消失和抗HBs抗体的出现。大约30％的成人急性HBV感染者表现为黄疸型肝炎，其中0.1％～0.5％表现为爆发性肝炎。急性肝炎主要症状有乏力、食欲减退、恶心、呕吐、厌油、腹胀、肝区痛、尿黄等。甲、戊型肝炎起病急，多数有发热。乙、丙、丁型肝炎起病相对较缓。慢性肝炎表现为反复出现乏力、食欲减退、厌油、肝区不适、尿黄等，部分患者无明显症状。重型肝炎有严重的消化道症状、极度乏力，同时可出现肝性脑病前驱症状。淤胆型肝炎起病类似急性黄疸型肝炎，但自觉症状常较轻，常有皮肤瘙痒。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,,感染科,传染病,药物治疗,概述,2,,"肝炎,HBV,病毒,病毒性,起病",772,386
急性肝炎和淤胆型肝炎可有肝肿大症状，并有压痛、肝区叩痛，部分患者可有轻度脾大，有黄疸的患者有皮肤和巩膜黄染。实验室检查 肝功能检查可出现血清胆红素、ALT、AST、血清碱性磷酸酶及γ谷氨酰转肽酶水平升高。重型肝炎时黄疸迅速加深，ALT反而下降，呈胆酶分离现象，提示大量肝细胞坏死。慢性活动性肝炎及肝硬化时血清白蛋白降低、球蛋白升高。肝性脑病患者血氨明显升高。血清学检测HBV标志物如下。HBsAg（表面抗原）和HBsAb（表面抗体）检测 HBsAg在疾病早期出现，HBsAg阳性是HBV感染的主要标志。血清HBsAb的出现，是HBV感染恢复的标志。注射过乙肝疫苗者，也可出现血清HBsAb阳性，提示已经获得HBV的特异性免疫。HBcAg和HBcAb（核心抗体）检测 在血清中一般不能检测出HBcAg。HBcAb阳性，提示感染过HBV，可能既往感染，也可能为现感染。其滴度高，表明HBV正在复制，有传染性。滴度低，表明既往感染过HBV。HBeAg（e抗原）和HBeAb（e抗体）检测 HBeAg阳性，提示有HBV复制，在HBV感染的早期出现，传染性强。HBeAb阳性是既往感染HBV的标志。诊断 根据流行病学资料、临床症状、体征和实验室检查等，很容易诊断出HBV感染。对诊断不明的患者应争取作肝组织学检查。治疗 治疗原则 消除病原、保护肝细胞、消退黄疸、促进肝细胞再生及防治并发症。非药物治疗 适当休息、合理饮食，注意心理调节。饮食方面，蛋白量应在病变恢复需要和肝功能可耐受之间。如发生低蛋白血症、水肿及腹水时，需要给予高蛋白饮食。肝性脑病患者早期须严格限制蛋白摄入。高糖和高维生素是肝病患者的常规饮食，脂肪量不必过分限制。药物治疗 药物治疗原则：病毒性肝炎的治疗主要有护肝治疗和抗病毒治疗。抗病毒治疗是慢性乙肝和丙肝治疗的根本措施。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,,感染科,传染病,药物治疗,临床表现,2,,"HBV,感染,治疗,血清,阳性",766,383
减轻肝脏炎症，促使肝细胞修复和功能恢复，是治疗病毒性肝炎的重要措施，包括消炎、降酶、退黄、促使肝细胞再生等。常用药物如下。干扰素 干扰素是一类由单核细胞和淋巴细胞产生的细胞因子，包括IFN-α、IFN-β和IFN-γ，它们在同种细胞上具有广谱的抗病毒、影响细胞生长，以及分化、调节免疫功能等多种生物活性。聚乙二醇干扰素α-2a（Peginterferon alfa-2a，PEG-IFNα-2a）是聚乙二醇与重组干扰素α-2a结合而成，其延缓了干扰素α的体内排泄过程，延长了半衰期，缩小体内血药峰谷浓度差，提高了临床疗效。PEG-IFN-α与利巴韦林联合应用是目前最有效的抗HCV治疗方案，其次是普通IFN-α与利巴韦林联合疗法。干扰素具有抗病毒、抗细胞增殖、抗肿瘤、免疫调节和抗肝脏纤维化五大作用，是HBV、HCV和HDV感染的标准治疗药物。IFN-α因抗HBV疗效优于IFN-β和IFN-γ而被广泛采用。目前，IFN治疗的主要对象是慢性乙型肝炎和丙型肝炎患者，而且在乙肝患者中，有以下情况者疗效较好：治疗前血清ALT或AST有反复波动或酶活力持续升高、血清HBeAg的P/N值偏低、病程较短者。肝脏有活动性炎症病变，无重叠感染者。无HIV感染或使用免疫抑制剂治疗者。干扰素高剂量时可引起发热、流感样症状，可能引起轻度骨髓抑制作用。应用IFN 3～6h后，患者会出现发热、寒战等症状，部分人还可有头痛、肌肉痛和全身倦怠感。70％的患者会出现乏力症状，40％的患者会产生食欲减退。目前，尚无有效药物对抗此类慢性症状，但这些症状可以通过适量运动、足量营养摄入、足量饮水和引导患者参与社会活动来缓解。过敏体质者、孕妇及哺乳期妇女慎用。用法及用量：慢性乙型肝炎患者用IFN 500万IU皮下注射，每日1次，4周后改为每周3次，疗程3～6个月。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,,感染科,传染病,药物治疗,治疗,2,,"IFN,干扰素,2a,患者,治疗",768,384
慢性丙型肝炎患者用IFN 300万IU联合RBV每日800mg抗病毒治疗16周或24周。核苷类似物 用于治疗慢性乙型肝炎的有拉米夫定、阿德福韦、恩替卡韦和替比夫定。（1）拉米夫定：是很强的反转录酶抑制剂，通过抑制HBV反转录酶和（或）竞争性地抑制HBV DNA聚合酶而抑制HBV DNA的复制，长期治疗可以减轻症状，降低肝纤维化和肝硬化的发生率。拉米夫定治疗儿童慢性乙型肝炎的疗效与成人相似，安全性良好。对乙型肝炎肝移植患者，移植前用拉米夫定，移植后拉米夫定与乙型肝炎免疫球蛋白联用，可明显降低肝移植后HBV再感染，并可减少乙型肝炎免疫球蛋白的用量。拉米夫定抑制HBV复制的能力强，不良反应较少和较轻，每日只需1次给药，患者的依从性好。但拉米夫定耐药发生率高，5年耐药率高达70％，停药后可能加重病情，从而限制了其长期应用。不良反应轻微，表现为轻微头痛、一过性嗜睡、恶心、疲乏、肝区不适等，且发生率较低，患者可较快适应而耐受。用法用量：口服，每次100mg，每日1次。对于HBeAg阳性患者，拉米夫定治疗至少1年，须间隔6个月连续检测2次，确认疗效巩固方可停药。对于HBeAg阴性患者，疗程至少1年，须间隔6个月连续检测3次，直至HBV DNA检测阴性，并且ALT水平正常方可停药。（2）阿德福韦：为嘌呤类衍生物，经细胞酶磷酸化，形成阿德福韦二磷酸盐发挥抗病毒作用。阿德福韦是5′-单磷酸脱氧阿糖腺苷的无环类似物，对拉米夫定耐药变异的代偿期和失代偿期肝硬化患者均有效。用较大剂量时有一定肾毒性，主要表现为血清肌酐水平升高和血磷水平下降，但每日10mg剂量对肾功能影响较小。每日10mg，治疗48～96周，有2％～3％的患者血清肌酐浓度较基线值上升44.2μmol/L（0.5mg/dL）以上。因此，对应用阿德福韦治疗者，应定期监测血清肌酐和血磷浓度。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,,感染科,传染病,药物治疗,临床表现,2,,"拉米夫定,HBV,阿德福,患者,乙型肝炎",775,387
阿德福韦的适应证为肝功能代偿的成年慢性乙型肝炎患者，尤其适用于需长期用药或已发生拉米夫定耐药者。对于已发生拉米夫定耐药者，目前主张在拉米夫定治疗的基础上加用阿德福韦酯，以降低阿德福韦耐药率，并提高疗效。（3）恩替卡韦：是环戊酰鸟苷类似物。作用于HBV DNA复制的起始、反转录和DNA正链合成等3个环节，从而抑制HBV的复制。恩替卡韦对拉米夫定耐药株、阿德福韦耐药株具有较强的抑制作用。由于恩替卡韦对HBV聚合酶具有高度选择性，故其细胞毒性极低，不良反应较少。口服吸收良好，生物利用度高，有效血浆半衰期在20～24h，血浆蛋白结合率低。成人每次0.5mg，口服，每日1次，能有效抑制HBV DNA的复制，疗效优于拉米夫定。（4）替比夫定：是一种新型左旋核苷类药物，化学名为β-L-2'脱氧胸苷，对HBV DNA聚合酶具有特异性的抑制作用。口服吸收良好，不受进食影响。临床不良反应较少，少数患者会出现肌酸激酶升高，治疗过程中需检测肌酸激酶水平。临床用于慢性乙型肝炎的治疗。用法：每次600mg，口服，每日1次。替比夫定在抗病毒及临床疗效方面优于拉米夫定，治疗1年耐药率为4.5％，低于拉米夫定组。不良反应发生率和特点与拉米夫定相似，对部分患者会引起肌酸激酶水平升高。预防 管理传染源 措施包括对患者进行登记及统计，对患者及其家属进行消毒、隔离和预防的指导。患者应注意个人卫生，密切接触者应进行乙肝疫苗的免疫接种。切断传播途径 加强对献血员的筛查，对血制品进行HBsAg检测，对各种医疗器械和用具实行严格消毒，提倡使用一次性注射器、检查和治疗用具，防止医源性传播。保护易感人群 接种乙肝疫苗是预防HBV感染的最有效方法。接种对象主要是新生儿、婴儿及高危人群。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,,感染科,传染病,药物治疗,治疗,2,,"拉米夫定,HBV,耐药,阿德福,DNA",727,363
接种疫苗后有抗体应答的保护效果一般至少可持续12年，因此，一般人群不需要进行抗HBs抗体监测或加强免疫，但对高危人群可进行抗HBs抗体监测，如抗HBs抗体水平＜10mIU/mL，可给予加强免疫。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,,感染科,传染病,药物治疗,治疗,2,,"HBs,抗体,加强免疫,监测,人群",97,48
病毒性肝炎是由几种不同的嗜肝病毒引起的肝脏损伤和炎症的传染性肝病。在已确定的5种肝炎病毒中，甲型和戊型肝炎通过粪口途径传播，起病急、病程短、能够自愈，不会转变为慢性肝炎。乙型、丙型和丁型肝炎主要通过输血、血制品、注射和母婴间传染，起病时症状不明显，可演变成慢性，并可发展为肝硬化和原发性肝癌。乙型肝炎的发病机制：人体受到乙型肝炎病毒（HBV）感染后，可出现不同的结局，其机制尚不完全清楚，主要由病毒和宿主之间的相互作用所决定。由于HBV不会直接引起肝细胞损害，故目前认为乙型肝炎的发病主要与宿主的免疫应答有关。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,病因及发病机制,感染科,传染病,药物治疗,概述,3,,"肝炎,乙型肝炎,病毒,HBV,宿主",255,127
HBV感染的潜伏期为30～160d，平均为60～90d，临床类型呈多样化，可表现为急性肝炎、慢性肝炎、肝功能衰竭、淤胆型肝炎或HBV慢性携带等。95％的成人HBV感染可以最终痊愈，伴有血清HBsAg消失和抗HBs抗体的出现。大约30％的成人急性HBV感染者表现为黄疸型肝炎，其中0.1％～0.5％表现为爆发性肝炎。急性肝炎主要症状有乏力、食欲减退、恶心、呕吐、厌油、腹胀、肝区痛、尿黄等。甲、戊型肝炎起病急，多数有发热。乙、丙、丁型肝炎起病相对较缓。慢性肝炎表现为反复出现乏力、食欲减退、厌油、肝区不适、尿黄等，部分患者无明显症状。重型肝炎有严重的消化道症状、极度乏力，同时可出现肝性脑病前驱症状。淤胆型肝炎起病类似急性黄疸型肝炎，但自觉症状常较轻，常有皮肤瘙痒。急性肝炎和淤胆型肝炎可有肝肿大症状，并有压痛、肝区叩痛，部分患者可有轻度脾大，有黄疸的患者有皮肤和巩膜黄染。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,临床表现,感染科,传染病,药物治疗,临床表现,3,,"肝炎,HBV,急性,淤胆型,肝区",386,193
肝功能检查可出现血清胆红素、ALT、AST、血清碱性磷酸酶及γ谷氨酰转肽酶水平升高。重型肝炎时黄疸迅速加深，ALT反而下降，呈胆酶分离现象，提示大量肝细胞坏死。慢性活动性肝炎及肝硬化时血清白蛋白降低、球蛋白升高。肝性脑病患者血氨明显升高。血清学检测HBV标志物如下。HBsAg（表面抗原）和HBsAb（表面抗体）检测 HBsAg在疾病早期出现，HBsAg阳性是HBV感染的主要标志。血清HBsAb的出现，是HBV感染恢复的标志。注射过乙肝疫苗者，也可出现血清HBsAb阳性，提示已经获得HBV的特异性免疫。HBcAg和HBcAb（核心抗体）检测 在血清中一般不能检测出HBcAg。HBcAb阳性，提示感染过HBV，可能既往感染，也可能为现感染。其滴度高，表明HBV正在复制，有传染性。滴度低，表明既往感染过HBV。HBeAg（e抗原）和HBeAb（e抗体）检测 HBeAg阳性，提示有HBV复制，在HBV感染的早期出现，传染性强。HBeAb阳性是既往感染HBV的标志。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,实验室检查,感染科,传染病,药物治疗,诊断,3,,"HBV,感染,血清,阳性,HBsAg",434,217
根据流行病学资料、临床症状、体征和实验室检查等，很容易诊断出HBV感染。对诊断不明的患者应争取作肝组织学检查。,临床药物治疗学\content\chap19.tex,病毒感染性疾病的药物治疗,病毒性肝炎,诊断,感染科,传染病,药物治疗,概述,3,,"诊断,检查,HBV,作肝,流行病学",55,27
