content,source_file,chapter,section,subsection,department,system_category,content_type,chunk_type,hierarchy_level,parent_chunk,keywords,char_count,token_count
消化性溃疡（peptic ulcer，PU）指胃肠道黏膜被胃酸和胃蛋白酶消化而发生的溃疡，好发于胃和十二指肠，也可发生在食管下段、小肠、胃肠吻合术后吻合口及异位的胃黏膜。溃疡的黏膜坏死缺损超过黏膜肌层，有别于糜烂。胃溃疡（gastric ulcer，GU）和十二指肠溃疡（duodenal ulcer，DU）是最常见的消化性溃疡，故一般所谓的消化性溃疡，是指GU与DU。流行病学 男性患消化性溃疡病的人数多于女性，男女之比GU为（4.4～6.8）∶1，DU为（3.6～4.7）∶1。DU比GU多见，在胃癌高发区则GU多于DU。DU多见于青壮年，GU多见于中老年。DU发病高峰比GU早10年。本病具有显著的地理环境差异性，我国南方患病率高于北方，城市高于农村，这可能与饮食习惯、工作节奏有关。发作有季节性，秋冬和冬春之交是高发季节。病因与发病机制 胃十二指肠黏膜除了经常接触高浓度胃酸外，还受到胃蛋白酶、微生物、胆盐、乙醇、药物和其他有害物质的侵袭。但在正常情况下，胃十二指肠黏膜能够抵御这些侵袭因素的损害作用，维持黏膜的完整性。这是因为胃十二指肠黏膜具有一系列防御和修复机制，包括黏液／碳酸氢盐屏障、黏膜屏障、丰富的黏膜血流、上皮细胞更新、前列腺素和表皮生长因子等。消化性溃疡的发生是由于对胃十二指肠黏膜有损害作用的侵袭因素与黏膜自身防御修复之间失去平衡的结果。胃酸和胃蛋白酶 胃酸与胃蛋白酶的自身消化是形成消化性溃疡的主要原因。盐酸是胃液的主要成分，由壁细胞分泌。胃蛋白酶原由胃体和胃底部的主细胞分泌，胃蛋白酶原经盐酸激活转化成胃蛋白酶，pH值1～3时胃蛋白酶最活跃，能水解食物蛋白、胃黏液中糖蛋白，甚至自身组织蛋白，pH值＞4时活性迅速下降。胃酸和胃蛋白酶水平升高均可引起消化性溃疡，但胃蛋白酶原激活依赖胃酸的存在，因此胃酸的存在是溃疡发生的决定性因素。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,概述,2,,"黏膜,胃蛋白酶,消化性溃疡,GU,DU",779,389
幽门螺杆菌 大多数研究已证实消化性溃疡与幽门螺旋杆菌（ ．pylori， ）有密切相关性。约70％GU及95％～100％DU均感染。感染导致消化性溃疡的发病机制尚未完全阐明， 造成的胃炎和胃黏膜屏障的损害是促使消化性溃疡发生和难于愈合的重要因素。非甾体类抗炎药 非甾体类抗炎药（non-steroidal anti-inflammatory drugs，NSAIDs）近年来临床应用越来越广泛，是引起消化性溃疡另一个重要的因素，常见的药物有阿司匹林、吲哚美辛、舒林酸、吡罗昔康、乙酰氨基酚和保泰松等。大约15％～30％应用NSAID的患者会发生消化性溃疡，其中2％～4％的患者可能发生溃疡出血或穿孔。NSAID溃疡并发症的危险因素包括既往消化道并发症、年龄（＞65岁）、同时应用抗凝剂、糖皮质激素和其他NSAIDs，以及慢性病特别是心血管疾病。由于胃黏膜接触摄入NSAIDs时间较十二指肠黏膜长，故溃疡好发于胃窦部和幽门前区，GU发病率为10％～20％，DU发病率为2％～5％。溃疡形态多样，大小为0.2～3.0cm不等，呈多发、浅表性溃疡。其他危险因素 其他药物 如糖皮质激素、抗肿瘤药物和抗凝药的广泛使用也可诱发消化性溃疡病，亦是上消化道出血不可忽视的原因之一。尤其应重视目前已广泛使用的抗血小板药物，能增加消化道出血的风险性，如噻吩吡啶类药物氯吡格雷等，该类药物通过阻断血小板膜上的ADP受体发挥抗血小板作用。与阿司匹林不同，ADP受体拮抗剂并不直接损伤消化道黏膜，但可抑制血小板衍生的生长因子和血小板释放的血管内皮生长因子，从而阻碍新生血管生成和影响溃疡愈合，即阻碍已受损消化道黏膜的愈合。当阿司匹林与氯吡格雷联合应用时危险性更高。吸烟 烟草刺激胃酸分泌增加，抑制胰液和胆汁的分泌而减弱其在十二指肠内中和胃酸的能力。使幽门括约肌张力减低，胆汁反流，破坏胃黏膜屏障。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,概述,2,,"消化性溃疡,溃疡,血小板,幽门,NSAIDs",786,393
不良的饮食和生活习惯 咖啡、浓茶、烈酒、辛辣食品等，以及偏食、饮食过快等不良饮食习惯，均易引起消化不良症状，但尚无确切资料证明可增加溃疡的发病率。高盐可损伤胃黏膜，增加GU发生的危险性。胃十二指肠运动异常 部分DU患者的胃排空比正常人快，使十二指肠球部的酸负荷量增大，黏膜易遭损伤。部分GU表现为胃排空延缓和十二指肠-胃反流，刺激胃窦部G细胞分泌胃泌素，增加胃酸的分泌。心理因素 长期精神紧张、焦虑或情绪波动者易罹患消化性溃疡。应激事件往往可引起应激性溃疡或促发消化性溃疡急性穿孔。心理因素可能通过迷走神经兴奋影响胃十二指肠分泌、运动及黏膜血流的调节。临床表现 本病患者临床表现不一，多数表现为中上腹反复发作性节律性疼痛，少数患者无症状，或以出血、穿孔等并发症发生作为首发症状。近年来由于抗酸剂、抑酸剂的广泛应用，症状不典型患者日益增多。疼痛 （1）部位：大多数患者以中上腹疼痛为主要症状。少部分患者无疼痛表现，特别是老年人溃疡、维持治疗中复发性溃疡和NSAIDs相关性溃疡。胃或十二指肠后壁溃疡，特别是穿透性溃疡可放射至背部。（2）程度和性质：隐痛、钝痛、灼痛或饥饿样痛，持续性剧痛提示溃疡穿透或穿孔。（3）节律性：DU疼痛好发于两餐之间，持续不减直至下餐进食或服制酸药物后缓解，即“空腹痛”。部分DU患者，由于夜间的胃酸较高，可发生半夜痛。GU疼痛常在餐后0.5h内发生，经1～2h后逐渐缓解，直至下餐进食后再复出现，即“餐后痛”。（4）周期性：反复周期性发作是消化性溃疡的特征之一，尤以DU更为突出。上腹疼痛发作可持续几天、几周或更长，继以较长时间的缓解。以秋末至春初较冷的季节更为常见。有些患者经过反复发作进入慢性病程后，可失去疼痛的节律性和周期性特征。（5）影响因素：疼痛常因精神刺激、过度疲劳、饮食不慎、药物影响和气候变化等因素诱发或加重。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,临床表现,2,,"疼痛,十二指肠,DU,溃疡,患者",776,388
可因休息、进食、服制酸药、以手按压疼痛部位、呕吐等方法而减轻或缓解。其他症状 可伴有非特异性症状，如唾液分泌增多、胃灼热、反胃、嗳酸、嗳气、恶心、呕吐等其他胃肠道症状。特殊类型的消化性溃疡 无症状型溃疡 约15％～30％消化性溃疡者无明显症状。这类消化性溃疡可见于任何年龄，但以老年人尤为多见。NSAIDs溃疡占无症状性溃疡的30％～40％。幽门管溃疡 幽门管位于胃远端，与十二指肠交接。与DU相似，幽门管溃疡常伴胃酸分泌过高，餐后可立即出现中上腹疼痛，程度较为剧烈而无节律性，抑酸疗效差。由于幽门管易痉挛和瘢痕形成，常引起梗阻而呕吐，或出现穿孔和出血。难治性溃疡 通常指经正规治疗（DU治疗8周，GU治疗12周）后，仍有腹痛、呕吐和体重减轻等症状的消化性溃疡。可能为穿透性溃疡或特殊部位的溃疡，如球后和幽门管溃疡，应与其他疾病如胃泌素瘤、克罗恩病、消化道淀粉样变性、淋巴瘤等鉴别。应激性溃疡 指在严重烧伤、颅脑外伤、脑肿瘤、严重外伤和大手术、严重的急性或慢性内科疾病（如脓毒血症）等应激情况下，在胃或十二指肠、食管产生的急性黏膜糜烂和溃疡。严重烧伤引起的急性应激性溃疡称为Curling溃疡。颅脑外伤、脑肿瘤或颅内神经外科手术引起的溃疡称为Cushing溃疡。诊断 根据本病具有慢性病程、周期性发作和节律性中上腹疼痛等特点，可作初步诊断。内镜检查是确诊的手段，对于内镜检查阴性仍然怀疑者，可行X线钡餐检查，钡剂填充溃疡的凹陷部分所造成的龛影是诊断溃疡的直接征象。治疗 一般治疗为避免过度紧张与劳累。溃疡活动期伴并发症时，需卧床休息。戒烟酒，避免食用咖啡、浓茶、辛辣等刺激性食物。不过饱，避免可诱发溃疡病的药物，如NSAIDs、肾上腺皮质激素、利舍平等。常用治疗药物如下。降低胃酸药物 碱性制酸药 碱性制酸药可中和胃酸，降低胃蛋白酶活性，缓解疼痛，促进溃疡愈合。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,临床表现,2,,"溃疡,幽门,消化性溃疡,性溃疡,治疗",781,390
此类药物曾是治疗溃疡主要药物之一，但因为愈合溃疡的疗效低，目前仅作为止痛的辅助药物，如碳酸氢钠、氢氧化铝、氢氧化镁及其复方制剂等。H$_$ 受体阻断药（H$_2$ RA） H$_2$ RA选择性竞争结合H$_$ 受体，使胃酸分泌明显减少，促进溃疡愈合。H$_2$ RA价格低廉，DU治疗需要8周，GU治疗时间应当更长。常用药物有西咪替丁、雷尼替丁、法莫替丁。（1）西咪替丁：可抑制基础胃酸分泌5h。常用剂量为每次0.4g，每日2次口服，餐后服用或睡前1次服0.8g。注意西咪替丁有轻度抗雄性激素作用，用药剂量较大时可引起男性乳房发育、女性溢乳、性欲减退、阳痿、精子计数减少等，停药后消失。可抑制细胞色素P450催化的氧化代谢途径，与其他药物合用时可降低这些药物的代谢，致其药理活性或毒性增强，这些药物包括苯二氮䓬 类药、华法林、苯妥英钠、普萘洛尔、美托洛尔、甲硝唑、茶碱、咖啡因、氨茶碱、维拉帕米（异搏定）、利多卡因、三环类抗抑郁药等。制酸药可能会影响西咪替丁的吸收，故若合用，两者应至少相隔1h服用。肾功能不全者剂量减量。（2）雷尼替丁：抑制胃酸作用为西咪替丁的5倍，常用剂量为每次0.15g，每日2次口服，不建议用于儿童特别是8岁以下者。（3）法莫替丁：抑制胃酸分泌效果比西咪替丁强40倍，作用可维持12h以上，常用剂量为每次20mg，每日2次口服。该药物不与肝脏细胞色素P450酶作用，故不影响茶碱、苯妥英、华法林及地西泮等药物的代谢。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,治疗,2,,"药物,西咪替,剂量,胃酸,RA",621,310
质子泵抑制药（proton pump inhibitions，PPI） 是一种苯丙咪唑硫氧化物，需酸性环境才能被激活，吸收入血后进入壁细胞，在分泌小管的酸间隙内质子化，转化为活性物质次磺酰胺，后者与质子泵管腔面上的2个巯乙胺共价结合，对ATP酶产生不可逆的抑制作用，从而阻断酸分泌的最后步骤，待新的ATP酶合成后，酸分泌才能恢复，明显减少任何通路引起的酸分泌，抑酸作用较H$_2$ RA更强且作用持久。消化性溃疡通常采用标准剂量的PPI，每日1次，早餐前0.5h服药。治疗十二指肠溃疡疗程4周，胃溃疡为6～8周，通常胃镜下溃疡愈合率均在90％以上。对于存在高危因素及巨大溃疡的患者建议适当延长疗程。对胃泌素瘤的治疗，通常应用双倍标准剂量的PPI，分为每日2次用药。常用的PPI主要有以下5种。（1）奥美拉唑：第一代PPIs。奥美拉唑在肝脏中经细胞色素P450（CYP）酶系完全代谢，其中主要依赖特异的同功型CYP2C19。治疗溃疡的标准剂量为每日20mg。（2）兰索拉唑：第一代PPIs。兰索拉唑主要通过肝药物代谢酶CYP2C19和CYP3A4进行代谢，生物利用度较奥美拉唑提高30％。治疗溃疡的标准剂量为每日30mg。（3）泮托拉唑：第一代PPIs。泮托拉唑具有独特的代谢途径，可通过肝细胞内的细胞色素P450酶系的第Ⅰ系统与第Ⅱ系统进行代谢。当与其他通过P450酶系代谢的药物合用时，泮托拉唑可通过第Ⅱ酶系统进行代谢，从而不易发生药物代谢酶系的竞争性作用，减少体内药物间的相互作用。其生物利用度比奥美拉唑提高7倍。治疗溃疡的标准剂量为每日40mg。（4）雷贝拉唑：第二代PPIs。在CYP2C19抑制剂中，雷贝拉唑最弱，故个体差异小，与其他药物的相互作用较少。治疗溃疡的标准剂量为每日10mg。（5）埃索美拉唑：第二代PPIs。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,治疗,2,,"溃疡,PPIs,代谢,奥美拉唑,剂量",766,383
奥美拉唑的S异构体，完全经细胞色素P450酶系统代谢，比奥美拉唑的抑酸更强且持久，疗效较稳定，个体差异低于奥美拉唑、兰索拉唑。治疗溃疡的标准剂量为每日20mg。胃黏膜保护药 对于老年人消化性溃疡、难治性溃疡、巨大溃疡、复发性溃疡建议在抗酸、抗 治疗同时，应用胃黏膜保护剂。（1）铋剂：在酸性环境下与溃疡面的黏蛋白形成螯合剂，覆盖于胃黏膜上发挥治疗作用，促进胃上皮细胞分泌黏液，抑制胃蛋白酶活性，促进前列腺素的分泌，对胃黏膜起保护作用。能干扰 的代谢，可用于根除 的联合治疗。有舌苔、牙齿黑染、黑便等不良反应，慢性肾功能不全者慎用，为避免铋在体内过量积聚引起脑病，不宜长期使用。常用者如胶体果胶铋，每次100～200mg，每日3或4次，餐前0.5h服用。当患者同时口服铋剂及抑酸剂时，铋剂会因为失去酸性环境而不能发挥有效作用，而抑酸剂也会因黏膜保护剂而影响其药效，故需分时服用。（2）硫糖铝：在酸性胃液中，凝聚成糊状黏稠物，附着于黏膜表面，阻止胃酸、胃蛋白酶侵袭溃疡面，有利于黏膜上皮细胞的再生和阻止氢离子向黏膜内逆弥散，促进内源性前列腺素合成。每次1g，每日4次，饭前1h及睡前空腹嚼碎服用。不良反应主要为便秘，甲状腺功能亢进、佝偻病等低磷血症患者不宜长期服用，因为可能会造成体液中磷的缺乏。（3）米索前列醇（Misoprostol）：能抑制胃酸分泌，增加胃十二指肠黏膜黏液／碳酸氢盐分泌，增加黏膜血流量，加速黏膜修复。主要用于NSAIDs溃疡的预防。不良反应主要是腹泻、皮疹等，能引起子宫收缩，孕妇慎用。（4）铝碳酸镁：是抗酸抗胆汁的胃黏膜保护剂，每次0.5～1g，每日3或4次，饭后1～2h嚼服。大剂量服用可导致软糊状便和大便次数增多。（5）替普瑞酮：可促进胃黏膜中高分子糖蛋白与磷脂的合成，增加胃黏膜中前列腺素的合成，促进胃黏液分泌和黏膜上皮细胞的复制能力，提高黏膜的防御能力。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,治疗,2,,"黏膜,胃黏膜,奥美拉唑,服用,分泌",792,396
每次50mg，每日3次，饭后服用。可能出现便秘、口渴、肝酶升高或胆固醇升高等不良反应。（6）瑞巴派特：增加胃黏膜中前列腺素的含量，抑制中性粒细胞产生过氧化酶，清除活性氧对胃黏膜上皮的损伤，抑制 黏附与化学趋化因子的产生而发挥黏膜保护作用。每次0.1g，早、晚及睡前口服。可能出现便秘等胃肠道症状、月经异常、肝肾功能异常、过敏等反应。胃肠动力药物 当部分患者出现恶心、呕吐和腹胀等症状，提示有胃潴留、排空迟缓、胆汁反流或胃食管反流者，可予促进胃动力药物，如甲氧氯普胺、多潘立酮、莫沙必利、伊托比必利等。（1）甲氧氯普胺（胃复安）：多巴胺D 受体拮抗剂，同时还具有5-羟色胺第4（5-HT ）受体激动效应，作用于延髓催吐化学感受区（CTZ）中的多巴胺受体，具有中枢性镇吐作用。还可促进胃及上部肠段的运动。每次5～10mg，口服，每日3次。静脉制剂每次10～20mg，每日剂量不超过0.5mg/kg。可能会出现昏睡、烦躁不安、疲怠无力等反应。因为阻断下丘脑多巴胺受体，抑制催乳素抑制因子，促进泌乳素的分泌，故有一定的催乳作用，可能引起溢乳与男性乳房发育。大剂量长期应用可能因阻断多巴胺受体，使胆碱能受体相对亢进而导致锥体外系反应，如肌震颤、发音困难、共济失调等，肾功能衰竭者更易发生。禁用对象：对普鲁卡因过敏者。癫痫 患者。嗜铬细胞瘤患者。因行化疗和放疗而呕吐的乳癌患者。胃肠道出血、机械性肠梗阻或穿孔患者，可因用药使胃肠道的动力增加，病情加重。（2）多潘立酮：为外周多巴胺受体阻滞剂，直接作用于胃肠壁，可增加食道下部括约肌张力，防止胃-食道反流，增强胃蠕动，促进胃排空，协调胃与十二指肠运动，不易透过血脑屏障。每次10mg，每日3次，饭前15～30min口服。抑制胃酸的分泌药物会降低多潘立酮的口服生物利用度，故不宜同时服用。由于垂体位于血脑屏障外，多潘立酮可能会引起催乳素水平升高。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,临床表现,2,,"受体,多巴胺,多潘立酮,口服,每次",790,395
多潘立酮主要经肝脏CYP3A4酶代谢，不宜与其他可能会延长Q-T间期的CYP3A4酶强效抑制剂合用，如氟康唑、伏立康唑、克拉霉素、胺碘酮。不建议大剂量长时间应用，特别是对于肝功能中度或重度受损者，已经存在心电活动异常或心律异常者，以及出现上述情况风险较高的患者应该慎用。（3）莫沙必利：选择性5-HT 受体激动剂，通过兴奋胃肠道胆碱能中间神经元及肌间神经丛的5-HT 受体，促进乙酰胆碱的释放，从而增强上消化道的运动。每次5mg，餐前口服，每日3次。可能出现腹泻、腹痛、口干、皮疹、倦怠、头晕、肝酶升高等症状，无锥体外系不良反应。（4）伊托必利：具有拮抗多巴胺D 受体和乙酰胆碱酯酶抑制活性，通过两者的协同作用发挥胃肠促动力作用，由于有拮抗多巴胺D 受体活性的作用，尚有一定的抗呕吐作用。每次50mg，餐前口服，每日3次。可能会产生腹泻、腹痛、过敏、肝功能异常等不良反应。消化性溃疡病的抗Hp 治疗 根除Hp 适应证和推荐强度 消化性溃疡是根除 最重要的适应证，对消化性溃疡 阳性者，无论是溃疡初发或复发，活动或静止，有无并发症都应行 感染治疗已得到国际上的共识。根除 可促进溃疡愈合，显著降低溃疡复发率和并发症发生率。应注意依据根除适应证进行 检测，不应任意扩大检测对象（表）。治疗所有 阳性者，但如无意治疗，就不要进行检测。Hp 感染的治疗 根除 抗菌药物的选择 流行病学调查表明，推荐用于根除治疗的抗菌药物中，甲硝唑耐药率达60％～70％，克拉霉素达20％～38％，左氧氟沙星达30％～38％，耐药显著影响根除率，治疗失败后易产生耐药（原则上不可重复应用）。阿莫西林、呋喃唑酮（痢特灵）和四环素的耐药率仍很低（1％～5％），治疗失败后不易产生耐药（可重复应用）。在选择抗菌药物时应充分考虑药物的耐药特性。三联疗法 详见表，PPI或铋剂＋表中抗菌药物中选择两种。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,临床表现,2,,"根除,耐药,治疗,抗菌,受体",783,391
四联疗法 PPI＋铋剂＋抗菌药物中的两种（剂量同三联方案）。疗程为10～14d。以下为2012年我国江西井冈山 共识会议推荐的根除方案。（1）抗菌药物4种组成方案：①阿莫西林＋克拉霉素。②阿莫西林＋左氧氟沙星。③阿莫西林＋呋喃唑酮。④四环素＋甲硝唑或呋喃唑酮。这4种抗菌药物组成方案中，3种治疗失败后易产生耐药的抗菌药物（甲硝唑、克拉霉素和左氧氟沙星）分别属于不同方案，仅不易耐药的阿莫西林、呋喃唑酮有重复。这些方案的优点：均有相对较高的根除率。任何一种方案治疗失败后，即使不行药敏试验，亦可再选择一种其他方案治疗。方案③和④疗效稳定、价廉，潜在的不良反应发生率可能稍高。（2）青霉素过敏者推荐的抗菌药物组成方案：①克拉霉素＋左氧氟沙星。②克拉霉素＋呋喃唑酮。③四环素＋甲硝唑或呋喃唑酮。④克拉霉素＋甲硝唑。需注意的是，青霉素过敏者初次治疗失败后的抗菌药物选择余地小，应尽可能提高初次治疗根除率。方案的选择 在克拉霉素高耐药率（＞15％）地区，一线方案首先推荐铋剂四联方案。在克拉霉素低耐药率地区，除推荐标准三联疗法外，亦推荐铋剂四联疗法作为一线方案。对铋剂有禁忌者或经证实 耐药率仍较低的地区，可选用非铋剂方案，包括标准三联方案等。在我国多中心随机对照研究中，序贯疗法（前5d为PPI＋阿莫西林，后5d为PPI＋克拉霉素＋甲硝唑，共10d）与标准三联疗法相比并未显示优势。伴同疗法（同时服用PPI＋克拉霉素＋阿莫西林＋甲硝唑）我国缺乏相应资料不予推荐，且后者需同时服用3种抗菌药物，不仅有可能增加抗菌药物的不良反应，还使治疗失败后抗菌药物的选择余地减小。在四联方案中，如初次治疗失败，可在剩余方案中再选择一种方案进行补救治疗。如果经过上述四联方案中的两种方案治疗失败后再次治疗时，再失败的可能性很大。在这种情况下，需再次评估根除治疗的风险-获益比。,临床药物治疗学\content\chap13.tex,消化系统疾病的药物治疗,消化性溃疡,,消化内科,消化系统疾病,药物治疗,治疗,2,,"方案,霉素,抗菌,克拉,阿莫西林",775,387
