content,source_file,chapter,section,subsection,department,system_category,content_type,chunk_type,hierarchy_level,parent_chunk,keywords,char_count,token_count
定义 急性脑血管病又称脑卒中，主要包括出血性脑血管病和缺血性脑血管病，后者又包括短暂性脑缺血发作、脑血栓形成和脑栓塞。病因及发病机制 病因 出血性脑血管病的病因 高血压是脑出血的主要原因，其他少见原因包括脑血管畸形、动脉瘤、脑动脉炎、血液病、应用溶栓抗凝药后及脑肿瘤等。缺血性脑血管病的病因 （1）短暂性缺血发作是一种多病因的综合征，其主要病因是主动脉-脑动脉系统的动脉粥样硬化。（2）脑血栓形成是发病率最高的一种缺血性卒中，占全部卒中的70％～80％，由脑动脉粥样硬化、脑动脉炎、血液高凝状态和脑供血不足所致。（3）脑栓塞又称栓塞性脑梗死，多数与心脏病有关，由脑外来源的栓子、栓塞所致。发病机制 出血性脑血管病发病机制 长期高血压出现小动脉平滑肌透明变性，局部管壁变薄，在高血流压力下膨出，形成微小动脉瘤或纤维素性坏死，从而在血压突然升高时发生破裂而引起脑出血。短暂性脑缺血发作的发病机制 短暂性脑缺血与多种促发因素及其组合可能有关，包括微栓子形成、盗血现象和其他疾病，如颈椎病、血压过低、动脉痉挛、血高凝状态等。脑血栓形成 引起脑血栓主要有以下5个方面的因素：①动脉管壁病变，最常见的是动脉粥样硬化。②脑动脉炎。③血流动力学的改变。④动脉畸形。⑤血液成分变化。脑栓塞 脑栓塞是由于来自身体各部位的各种栓子（如心内膜炎的炎性栓子、风湿性心脏瓣膜病栓子、心肌梗死或动脉硬化附壁血栓等），通过颈动脉或椎动脉阻断脑血管，致使其供血区域缺血、坏死，从而发生脑梗死和脑功能障碍。临床表现 出血性脑血管病 本病好发于50岁以上，没有系统治疗或血压控制不好的高血压者，常在体力活动或情绪激动时突然发病，出现昏迷、偏瘫、呕吐等。发病时多有血压明显升高，意识障碍程度是判断病情轻重的主要指标。短暂性脑缺血发作 本病好发于中老年人，男性多于女性。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,,神经内科,神经系统疾病,药物治疗,概述,2,,"脑血管病,短暂性,动脉,栓子,脑栓塞",764,382
发作突然，症状在1min内达到高峰，少数于数分钟内进行性发展，一般持续时间不超过15min，个别可达2h。发作停止后，神经症状完全消失，但常有反复发作的趋势。临床上将短暂性脑缺血发作分为两类。颈内动脉系统短暂性脑缺血发作 最常见的症状为对侧上肢或下肢无力，也可只限于一只手无力，但少累及面部。感觉障碍多为部分肢体麻木，感觉很少完全丧失。可产生感觉性或运动性失语。单侧视力丧失为特有症状，发作时，在眼底可见到动脉栓子，本类较多见。椎-基底动脉系统短暂性脑缺血发作 最常见的症状为眩晕，伴视野缺损和复视，很少有耳鸣。可出现言语不清、单侧共济失调、双眼视物模糊、声音嘶哑、呃逆、呕吐。一侧脑神经麻痹伴对侧肢体瘫痪或感觉障碍为典型表现。跌倒发作为特有表现，患者突然跌倒在地，而无可觉察的意识障碍，虽有很短暂的四肢无力，但患者可以立即自行站起。脑血栓形成 本病多发生于中老年人，多有高血压、动脉粥样硬化史。起病突然，但症状体征进展较缓慢，常需数小时，甚至1～2d达到高峰。不少患者在睡眠中发病，清晨醒来时发现偏瘫或单瘫，以及失语等。部分患者发病前有短暂性脑缺血发作病史。多数患者清醒，如果起病时即意识不清，要考虑椎-基底动脉系统脑梗死可能。大脑半球较大区域梗死，缺血、水肿影响间脑和脑干功能，可于起病后不久出现意识障碍。脑栓塞 脑栓塞的起病年龄不一，因多数与心脏病有关，所以发病年龄以中青年居多。起病前无先兆，起病急骤，数秒或数分钟内症状发展到高峰，是所有脑血管病中起病最急者。个别患者可在数日内呈阶梯式进行性恶化，由反复栓塞所致。半数患者起病时有意识丧失，但意识丧失的时间远比脑出血短。常有突发的面瘫、上肢瘫、偏瘫、失语、偏盲、局限性癫痫 发作，或偏身感觉障碍等局部脑病症状。多数抽搐为局部性，如为全身性大发作，提示栓塞范围广泛，病情较重。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,,神经内科,神经系统疾病,药物治疗,临床表现,2,,"发作,起病,症状,短暂性,脑缺血",766,383
治疗 出血性脑血管病的药物治疗原则 急性期主要治疗原则是降低颅内压和脑代谢、控制血压，尽量减少不必要的搬动。缺血性脑血管病的药物治疗原则 早期溶栓治疗，恢复血氧供应。改善脑循环，降低脑代谢，减轻脑水肿。全身治疗要纠正高血糖，降低血黏度，维持水电解质平衡。常用药物 溶栓药 尿激酶： 【适应证】 主要用于脑血栓形成的溶栓治疗。溶栓的疗效均需用后续的肝素抗凝治疗加以维持。【用法和用量】 现用现配，临用前用灭菌的生理盐水配制，每日20000～40000IU，分两次静脉注射，疗程7～10d。【不良反应】 出血，严重可致脑出血。少数出现过敏反应。【禁忌证】 禁用于近期有出血倾向疾病、手术、外伤及出血性脑卒中病史者。抗凝药 肝素： 【适应证】 用于防治血栓形成或栓塞性疾病。【用法和用量】 静脉注射：成人初始剂量5000IU加入5％～10％葡萄糖溶液或生理盐水100mL中，30～60min滴完。之后每4h按100IU/kg溶于生理盐水中持续滴注，肝素静滴每日20000～40000IU。【不良反应】 偶见过敏反应，表现为哮喘、荨麻疹、结膜炎和发热以及一过性脱发和腹泻等。短暂的血小板减少症。【禁忌证】 禁用于对肝素钠过敏。不能控制的活动性出血。有出血性疾病及凝血机制障碍者。外伤或术后渗血。胃及十二指肠溃疡。严重肝肾功能不全。重症高血压。华法林： 【适应证】 适用于需长期持续抗凝的患者，如用于防治血栓栓塞性疾病，能防止血栓的形成与发展。【用法和用量】 口服给药，避免冲击治疗。第1～3日，每日3～4mg。3d后可2.5～5mg/d维持。【不良反应】 使用过量易致各种出血。出血可发生在任何部位，特别是泌尿道和消化道。偶见恶心、呕吐、腹泻、过敏反应等。【禁忌证】 禁用于肝肾功能损害、严重高血压、凝血功能障碍伴有出血倾向、活动性溃疡、外伤、先兆流产、近期手术者和妊娠期。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,,神经内科,神经系统疾病,药物治疗,治疗,2,,"治疗,溶栓,出血,禁忌证,肝素",783,391
抗血小板药 阿司匹林： 【适应证】 小剂量用于预防缺血性脑血管病。【用法和用量】 口服，每次80～300mg，每日1次。【不良反应】 胃肠道反应。氯吡格雷： 【适应证】 用于脑血管疾病、脑中风、脑供血不全等。【用法和用量】 口服：每次50～75mg，每日1次。【不良反应】 不良反应较少、较轻，主要表现为上腹不适，偶见中性粒细胞减少。降纤药 巴曲酶： 【适应证】 适用于急性脑梗死，包括脑血栓、脑栓塞，短暂性脑缺血发作及脑梗死再复发的预防。【用法和用量】 成人用量首次量为10BU，以后的维持量可减为5BU，隔日1次。【不良反应】 少数患者有轻度不良反应。主要表现为注射部位出血，偶见消化道出血。可见头痛、头晕等症状，个别患者可能出现少量红斑、瘙痒及荨麻疹，偶见过敏性休克。脱水药 甘露醇： 【适应证】 用于治疗各种原因引起的脑水肿，降低颅内压，防止脑疝。【用法和用量】 推荐静脉滴注20％甘露醇（4h内0.25～0.5g/kg，疗程＜5d）。【不良反应】 快速大量静脉滴注甘露醇可引起体内甘露醇积聚，血容量迅速大量增多，导致心力衰竭，稀释性低钠血症，偶可致高钾血症。血容量扩充药 低分子右旋糖酐： 【适应证】 可增加血容量，降低血液黏稠度，改善病灶区微循环。【用法和用量】 静脉滴注：每次250～500mL，每日或隔日1次，7～14次为1疗程。【不良反应】 偶见过敏反应，如发热、胸闷、呼吸困难、荨麻疹等。钙通道阻滞剂 尼莫地平： 【适应证】 适用于各种原因的蛛网膜下腔出血后的脑血管痉挛和急性脑血管病恢复期的血液循环改善。【用法和用量】 口服，每次20～60mg，每日3次。静脉滴注，须单独输注，每分钟滴注0.5μg/kg，随时监测血压，病情稳定后改口服。【不良反应】 常见肝功能异常，可有血小板计数减少、皮疹、瘙痒、恶心、呕吐及出血，偶见一过性头晕、头痛、面潮红等。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,,神经内科,神经系统疾病,药物治疗,临床表现,2,,"不良反应,用量,偶见,用法,静脉滴注",786,393
桂利嗪： 【适应证】 预防和治疗脑血液循环障碍，如脑梗死、脑血栓形成、短暂性脑缺血发作等。【用法和用量】 口服，每次25～50mg，每日3次，饭后服。静脉注射：每次20～40mg，缓慢注入。【不良反应】 最为常见的不良反应为嗜睡和疲惫。长期服用者可出现抑郁症，女性较为常见。【禁忌证】 禁用于孕妇和哺乳期妇女。慎用于帕金森病、驾驶员和机械操作者。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,,神经内科,神经系统疾病,药物治疗,治疗,2,,"不良反应,每次,帕金森病,脑梗死,常见",173,86
急性脑血管病又称脑卒中，主要包括出血性脑血管病和缺血性脑血管病，后者又包括短暂性脑缺血发作、脑血栓形成和脑栓塞。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,定义,神经内科,神经系统疾病,药物治疗,概述,3,,"脑血管病,脑卒中,脑栓塞,短暂性,脑缺血",56,28
病因 出血性脑血管病的病因 高血压是脑出血的主要原因，其他少见原因包括脑血管畸形、动脉瘤、脑动脉炎、血液病、应用溶栓抗凝药后及脑肿瘤等。缺血性脑血管病的病因 （1）短暂性缺血发作是一种多病因的综合征，其主要病因是主动脉-脑动脉系统的动脉粥样硬化。（2）脑血栓形成是发病率最高的一种缺血性卒中，占全部卒中的70％～80％，由脑动脉粥样硬化、脑动脉炎、血液高凝状态和脑供血不足所致。（3）脑栓塞又称栓塞性脑梗死，多数与心脏病有关，由脑外来源的栓子、栓塞所致。发病机制 出血性脑血管病发病机制 长期高血压出现小动脉平滑肌透明变性，局部管壁变薄，在高血流压力下膨出，形成微小动脉瘤或纤维素性坏死，从而在血压突然升高时发生破裂而引起脑出血。短暂性脑缺血发作的发病机制 短暂性脑缺血与多种促发因素及其组合可能有关，包括微栓子形成、盗血现象和其他疾病，如颈椎病、血压过低、动脉痉挛、血高凝状态等。脑血栓形成 引起脑血栓主要有以下5个方面的因素：①动脉管壁病变，最常见的是动脉粥样硬化。②脑动脉炎。③血流动力学的改变。④动脉畸形。⑤血液成分变化。脑栓塞 脑栓塞是由于来自身体各部位的各种栓子（如心内膜炎的炎性栓子、风湿性心脏瓣膜病栓子、心肌梗死或动脉硬化附壁血栓等），通过颈动脉或椎动脉阻断脑血管，致使其供血区域缺血、坏死，从而发生脑梗死和脑功能障碍。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,病因及发病机制,神经内科,神经系统疾病,药物治疗,概述,3,,"动脉,栓子,病因,脑栓塞,短暂性",568,284
出血性脑血管病 本病好发于50岁以上，没有系统治疗或血压控制不好的高血压者，常在体力活动或情绪激动时突然发病，出现昏迷、偏瘫、呕吐等。发病时多有血压明显升高，意识障碍程度是判断病情轻重的主要指标。短暂性脑缺血发作 本病好发于中老年人，男性多于女性。发作突然，症状在1min内达到高峰，少数于数分钟内进行性发展，一般持续时间不超过15min，个别可达2h。发作停止后，神经症状完全消失，但常有反复发作的趋势。临床上将短暂性脑缺血发作分为两类。颈内动脉系统短暂性脑缺血发作 最常见的症状为对侧上肢或下肢无力，也可只限于一只手无力，但少累及面部。感觉障碍多为部分肢体麻木，感觉很少完全丧失。可产生感觉性或运动性失语。单侧视力丧失为特有症状，发作时，在眼底可见到动脉栓子，本类较多见。椎-基底动脉系统短暂性脑缺血发作 最常见的症状为眩晕，伴视野缺损和复视，很少有耳鸣。可出现言语不清、单侧共济失调、双眼视物模糊、声音嘶哑、呃逆、呕吐。一侧脑神经麻痹伴对侧肢体瘫痪或感觉障碍为典型表现。跌倒发作为特有表现，患者突然跌倒在地，而无可觉察的意识障碍，虽有很短暂的四肢无力，但患者可以立即自行站起。脑血栓形成 本病多发生于中老年人，多有高血压、动脉粥样硬化史。起病突然，但症状体征进展较缓慢，常需数小时，甚至1～2d达到高峰。不少患者在睡眠中发病，清晨醒来时发现偏瘫或单瘫，以及失语等。部分患者发病前有短暂性脑缺血发作病史。多数患者清醒，如果起病时即意识不清，要考虑椎-基底动脉系统脑梗死可能。大脑半球较大区域梗死，缺血、水肿影响间脑和脑干功能，可于起病后不久出现意识障碍。脑栓塞 脑栓塞的起病年龄不一，因多数与心脏病有关，所以发病年龄以中青年居多。起病前无先兆，起病急骤，数秒或数分钟内症状发展到高峰，是所有脑血管病中起病最急者。个别患者可在数日内呈阶梯式进行性恶化，由反复栓塞所致。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,临床表现,神经内科,神经系统疾病,药物治疗,临床表现,3,,"发作,起病,短暂性,脑缺血,症状",785,392
半数患者起病时有意识丧失，但意识丧失的时间远比脑出血短。常有突发的面瘫、上肢瘫、偏瘫、失语、偏盲、局限性癫痫 发作，或偏身感觉障碍等局部脑病症状。多数抽搐为局部性，如为全身性大发作，提示栓塞范围广泛，病情较重。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,临床表现,神经内科,神经系统疾病,药物治疗,临床表现,3,,"发作,丧失,偏盲,偏身,如为",105,52
出血性脑血管病的药物治疗原则 急性期主要治疗原则是降低颅内压和脑代谢、控制血压，尽量减少不必要的搬动。缺血性脑血管病的药物治疗原则 早期溶栓治疗，恢复血氧供应。改善脑循环，降低脑代谢，减轻脑水肿。全身治疗要纠正高血糖，降低血黏度，维持水电解质平衡。常用药物 溶栓药 尿激酶： 【适应证】 主要用于脑血栓形成的溶栓治疗。溶栓的疗效均需用后续的肝素抗凝治疗加以维持。【用法和用量】 现用现配，临用前用灭菌的生理盐水配制，每日20000～40000IU，分两次静脉注射，疗程7～10d。【不良反应】 出血，严重可致脑出血。少数出现过敏反应。【禁忌证】 禁用于近期有出血倾向疾病、手术、外伤及出血性脑卒中病史者。抗凝药 肝素： 【适应证】 用于防治血栓形成或栓塞性疾病。【用法和用量】 静脉注射：成人初始剂量5000IU加入5％～10％葡萄糖溶液或生理盐水100mL中，30～60min滴完。之后每4h按100IU/kg溶于生理盐水中持续滴注，肝素静滴每日20000～40000IU。【不良反应】 偶见过敏反应，表现为哮喘、荨麻疹、结膜炎和发热以及一过性脱发和腹泻等。短暂的血小板减少症。【禁忌证】 禁用于对肝素钠过敏。不能控制的活动性出血。有出血性疾病及凝血机制障碍者。外伤或术后渗血。胃及十二指肠溃疡。严重肝肾功能不全。重症高血压。华法林： 【适应证】 适用于需长期持续抗凝的患者，如用于防治血栓栓塞性疾病，能防止血栓的形成与发展。【用法和用量】 口服给药，避免冲击治疗。第1～3日，每日3～4mg。3d后可2.5～5mg/d维持。【不良反应】 使用过量易致各种出血。出血可发生在任何部位，特别是泌尿道和消化道。偶见恶心、呕吐、腹泻、过敏反应等。【禁忌证】 禁用于肝肾功能损害、严重高血压、凝血功能障碍伴有出血倾向、活动性溃疡、外伤、先兆流产、近期手术者和妊娠期。,临床药物治疗学\content\chap09.tex,神经系统疾病的药物治疗,急性脑血管病,治疗,神经内科,神经系统疾病,药物治疗,治疗,3,,"溶栓,治疗,出血,禁忌证,肝素",780,390
