content,source_file,chapter,section,subsection,department,system_category,content_type,chunk_type,hierarchy_level,parent_chunk,keywords,char_count,token_count
定义 缺铁性贫血是由于铁摄入不足或丢失过多，体内贮铁耗尽，影响血红素合成，导致缺铁性红细胞生成的小细胞低色素性贫血。病因及发病机制 病因 常见的铁缺乏原因有摄入不足、需求过多和铁丢失过多。（1）摄入不足：主要是饮食含铁量不足和吸收障碍。动物源食物比植物源食物含铁量高且易于吸收，铁缺乏者可选用高铁饮食。胃酸分泌不足、胃部手术、胃肠道功能紊乱（长期腹泻、慢性肠炎）等多种原因都会导致铁吸收障碍，造成缺铁性贫血。（2）需求过多：婴幼儿生长迅速而铁贮备量少，乳汁含铁量低，若喂养不合理，易发生缺铁性贫血。青少年偏食、妊娠和哺乳期妇女铁需求量增加，若不补充高铁食物，也可能发生缺铁性贫血。（3）丢失过多：慢性失血是本病最常见的病因。各种出血性疾病，如慢性胃肠道出血、消化性溃疡、肿瘤、月经过多、痔疮等均可导致缺铁性贫血。正常情况下铁的消耗和补充保持动态平衡，如长期出血负铁平衡的情况，则可导致缺铁和血细胞生成障碍。缺铁是一个渐进的过程，一般分为三个阶段：缺铁（贮铁减少，血红蛋白正常）、缺铁性红细胞生成（铁代谢紊乱，无贫血）和缺铁性贫血。发病机制 当体内缺铁严重时，粒细胞、血小板的生成也会受到影响。同时，细胞中含铁酶和铁依赖性酶的活性降低，可能影响人的精神、行为、免疫功能及儿童的生长、智力发育。缺铁也可能引起黏膜组织病变和外胚叶组织营养障碍。临床表现 在体内铁储备尚未耗竭之前，临床上可无症状。当储备铁耗竭后，主要表现为皮肤黏膜苍白、乏力、活动后心悸、气促、眼花、耳鸣等。踝部可出现浮肿，儿童可有生长发育迟缓、注意力不集中、性格改变等症状，此外还可有某些特殊的神经系统症状如容易兴奋、激动、烦躁、头痛等。偶有上皮细胞组织异常所产生的症状，如舌痛或萎缩性口炎等。异食癖为缺铁性贫血的特殊表现。治疗 药物治疗原则 缺铁性贫血首选口服制剂，餐后服用。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,缺铁性贫血,,血液科,血液和造血系统疾病,药物治疗,概述,2,,"缺铁性,贫血,缺铁,含铁,过多",770,385
服药时应注意，同服谷类、乳类、茶、含鞣酸饮料等会抑制铁剂的吸收。鱼、肉类、维生素C可加强铁剂的吸收。铁剂治疗在血红蛋白恢复正常后至少持续4～6个月，待铁蛋白正常后停药。若口服铁剂不能耐受或吸收障碍，可用右旋糖酐铁肌注，注意过敏反应。常用药物 铁剂： 【适应证】 适用于预防或治疗各种原因引起的缺铁，包括儿童或婴儿期需铁量增加而食物中供应量不足、铁吸收障碍、妊娠中后期以及慢性失血等。【用法和用量】 口服铁剂：硫酸亚铁，成人口服每次300mg，每日3次。缓释片每次450mg，每日2次，饭后服用。注射铁剂：右旋糖酐铁，深部肌肉注射，成人每次100～200mg，每1～3日1次。【注意事项及不良反应】 口服铁剂有轻度胃肠反应，重者餐后服用，但对药物吸收有所影响。注射铁剂期间，不宜同时口服铁，以免发生毒性反应。口服糖浆铁制剂容易使牙齿变黑。避免婴儿肌肉注射铁剂。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,缺铁性贫血,,血液科,血液和造血系统疾病,药物治疗,治疗,2,,"铁剂,口服,吸收,右旋糖酐,肌肉注射",379,189
缺铁性贫血是由于铁摄入不足或丢失过多，体内贮铁耗尽，影响血红素合成，导致缺铁性红细胞生成的小细胞低色素性贫血。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,缺铁性贫血,定义,血液科,血液和造血系统疾病,药物治疗,概述,3,,"缺铁性,贫血,贮铁,色素性,血红素",55,27
病因 常见的铁缺乏原因有摄入不足、需求过多和铁丢失过多。（1）摄入不足：主要是饮食含铁量不足和吸收障碍。动物源食物比植物源食物含铁量高且易于吸收，铁缺乏者可选用高铁饮食。胃酸分泌不足、胃部手术、胃肠道功能紊乱（长期腹泻、慢性肠炎）等多种原因都会导致铁吸收障碍，造成缺铁性贫血。（2）需求过多：婴幼儿生长迅速而铁贮备量少，乳汁含铁量低，若喂养不合理，易发生缺铁性贫血。青少年偏食、妊娠和哺乳期妇女铁需求量增加，若不补充高铁食物，也可能发生缺铁性贫血。（3）丢失过多：慢性失血是本病最常见的病因。各种出血性疾病，如慢性胃肠道出血、消化性溃疡、肿瘤、月经过多、痔疮等均可导致缺铁性贫血。正常情况下铁的消耗和补充保持动态平衡，如长期出血负铁平衡的情况，则可导致缺铁和血细胞生成障碍。缺铁是一个渐进的过程，一般分为三个阶段：缺铁（贮铁减少，血红蛋白正常）、缺铁性红细胞生成（铁代谢紊乱，无贫血）和缺铁性贫血。发病机制 当体内缺铁严重时，粒细胞、血小板的生成也会受到影响。同时，细胞中含铁酶和铁依赖性酶的活性降低，可能影响人的精神、行为、免疫功能及儿童的生长、智力发育。缺铁也可能引起黏膜组织病变和外胚叶组织营养障碍。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,缺铁性贫血,病因及发病机制,血液科,血液和造血系统疾病,药物治疗,概述,3,,"缺铁性,贫血,缺铁,含铁,过多",503,251
在体内铁储备尚未耗竭之前，临床上可无症状。当储备铁耗竭后，主要表现为皮肤黏膜苍白、乏力、活动后心悸、气促、眼花、耳鸣等。踝部可出现浮肿，儿童可有生长发育迟缓、注意力不集中、性格改变等症状，此外还可有某些特殊的神经系统症状如容易兴奋、激动、烦躁、头痛等。偶有上皮细胞组织异常所产生的症状，如舌痛或萎缩性口炎等。异食癖为缺铁性贫血的特殊表现。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,缺铁性贫血,临床表现,血液科,血液和造血系统疾病,药物治疗,临床表现,3,,"耗竭,症状,储备,口炎,踝部",169,84
药物治疗原则 缺铁性贫血首选口服制剂，餐后服用。服药时应注意，同服谷类、乳类、茶、含鞣酸饮料等会抑制铁剂的吸收。鱼、肉类、维生素C可加强铁剂的吸收。铁剂治疗在血红蛋白恢复正常后至少持续4～6个月，待铁蛋白正常后停药。若口服铁剂不能耐受或吸收障碍，可用右旋糖酐铁肌注，注意过敏反应。常用药物 铁剂： 【适应证】 适用于预防或治疗各种原因引起的缺铁，包括儿童或婴儿期需铁量增加而食物中供应量不足、铁吸收障碍、妊娠中后期以及慢性失血等。【用法和用量】 口服铁剂：硫酸亚铁，成人口服每次300mg，每日3次。缓释片每次450mg，每日2次，饭后服用。注射铁剂：右旋糖酐铁，深部肌肉注射，成人每次100～200mg，每1～3日1次。【注意事项及不良反应】 口服铁剂有轻度胃肠反应，重者餐后服用，但对药物吸收有所影响。注射铁剂期间，不宜同时口服铁，以免发生毒性反应。口服糖浆铁制剂容易使牙齿变黑。避免婴儿肌肉注射铁剂。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,缺铁性贫血,治疗,血液科,血液和造血系统疾病,药物治疗,治疗,3,,"铁剂,口服,吸收,餐后,右旋糖酐",403,201
定义 再生障碍性贫血（aplastic anemia，AA，简称再障）是由多种原因引起的骨髓造血功能衰竭所致，外周血呈现全血细胞减少。病因及发病机制 病因 （1）物理因素：主要指电离辐射，如γ射线、X射线等。（2）化学因素：指药物及化学物质，如杀虫剂、染发剂、化疗药物等。（3）生物因素：指病毒，如乙型肝炎病毒、微小病毒感染等。发病机制 （1）造血干细胞缺陷：再障患者造血干细胞异常，集落形成能力显著降低，数量明显减少。（2）造血微环境异常：再障患者的骨髓“脂肪化”，毛细血管坏死，骨髓基质细胞分泌的各类造血调控因子异常。（3）免疫功能异常：T细胞功能异常亢进、T细胞直接杀伤和淋巴因子介导的造血干细胞过度凋亡引起的骨髓衰竭。临床表现 急性型再障 起病急，病程短，进展迅速，早期突出的症状常为出血和感染。贫血进行性加重症状明显。皮肤瘀点、瘀斑，鼻出血、齿龈出血、消化道出血、月经过多等出血症状均较常见，而且不易控制，如出现颅内出血、严重感染如肺炎和败血症，病情险恶，预后差。慢性型再障 起病缓，进展较慢，病程较长，以贫血为首发及主要表现。患者一般出现倦怠无力、劳累后气促、心悸、头晕及面色苍白等。出血症状轻微，多限于皮肤黏膜，且不严重，内脏出血较少见。感染发热症状较轻微，且以呼吸道感染为主，严重感染少。治疗 药物治疗原则 慢性或轻型再障以雄激素治疗为主，急性或重型再障应以免疫抑制剂为主。常用药物 司坦唑醇：属于17α-烷基雄激素类，为治疗慢性再障的首选药物。【适应证】 可刺激造血功能，直接刺激骨髓干、祖细胞增殖分化，用于治疗再障。【用法和用量】 成人口服，开始每次2mg，每日2或3次，女性酌减。效果明显后逐渐、缓慢减量，至维持量每日2mg。【不良反应及注意事项】 服药初期偶见水肿，继续用药可自行消失。长期用药可能引起黄疸、肝坏疽、诱发肝癌。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,再生障碍性贫血,,血液科,血液和造血系统疾病,药物治疗,概述,2,,"再障,造血,出血,骨髓,感染",775,387
本品有雄性化作用，女性患者可能出现月经紊乱现象，停药后自行缓解。抗人T细胞免疫球蛋白： 【适应证】 适用于年龄大于40岁或无合适供髓者的严重型再障。【用法和用量】 静脉滴注，每日2mg/kg，以250～500mL氯化钠注射液稀释，连用5d。输液前2h给予氢化可的松，可改善耐受。【不良反应及注意事项】 静脉滴注时见短暂高热、寒战，有时伴有关节痛、低血压、心率加快、呼吸困难。本品可诱导产生其他抗体，故接种减毒活疫苗者禁用。可致过敏反应，过敏体质者禁用。治疗期间定期监测血细胞计数，当发生严重的持续性血小板或白细胞计数减少，应停药。长期使用本品，患者免疫监视功能下降，注意癌变。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,再生障碍性贫血,,血液科,血液和造血系统疾病,药物治疗,治疗,2,,"本品,静脉滴注,停药,禁用,计数",288,144
再生障碍性贫血（aplastic anemia，AA，简称再障）是由多种原因引起的骨髓造血功能衰竭所致，外周血呈现全血细胞减少。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,再生障碍性贫血,定义,血液科,血液和造血系统疾病,药物治疗,概述,3,,"再障,aplastic,anemia,AA,外周血",64,32
病因 （1）物理因素：主要指电离辐射，如γ射线、X射线等。（2）化学因素：指药物及化学物质，如杀虫剂、染发剂、化疗药物等。（3）生物因素：指病毒，如乙型肝炎病毒、微小病毒感染等。发病机制 （1）造血干细胞缺陷：再障患者造血干细胞异常，集落形成能力显著降低，数量明显减少。（2）造血微环境异常：再障患者的骨髓“脂肪化”，毛细血管坏死，骨髓基质细胞分泌的各类造血调控因子异常。（3）免疫功能异常：T细胞功能异常亢进、T细胞直接杀伤和淋巴因子介导的造血干细胞过度凋亡引起的骨髓衰竭。,临床药物治疗学\content\chap14.tex,血液系统疾病的药物治疗,再生障碍性贫血,病因及发病机制,血液科,血液和造血系统疾病,药物治疗,概述,3,,"造血,干细胞,再障,骨髓,异常",238,119
