content,source_file,chapter,section,subsection,department,system_category,content_type,chunk_type,hierarchy_level,parent_chunk,keywords,char_count,token_count
类风湿关节炎（rheumatoid arthritis，RA）是一种病因未明的、以关节滑膜炎为特征的慢性全身性自身免疫性疾病，主要特征为对称性、慢性、进行性多关节炎。关节滑膜的慢性炎症、增生，形成血管翳，侵犯关节软骨、软骨下骨、韧带和肌腱等，造成关节软骨、骨和关节囊破坏，最终导致关节畸形和功能丧失，可伴有发热、皮下结节及淋巴结肿大等关节外表现，血清中可出现多种自身抗体，病变呈持续、反复发作过程。RA呈全球性分布，发病高峰在30～50岁，女性多发，我国的患病率约为0.32％～0.36％。病因和发病机制 病因 可能与环境、细菌、病毒、遗传和性激素等相关。感染因素 已经证明某些病毒和细菌微生物可通过其体内的抗原性蛋白或多肽片段介导RA患者的自身免疫反应。（1）细菌因素。A组链球菌及菌壁的肽聚糖长期存在于体内成为持续的抗原，刺激机体产生抗体，发生免疫病理损伤而致病。结核分枝杆菌的热休克蛋白也与机体有共同的序列，提示可能与RA有关。（2）病毒因素。EB病毒的gp110糖蛋白可能通过分子模拟机制在RA的发生和演变中发挥作用。77％的RA患者滑膜中有细小病毒B19基因，活动性滑膜炎患者的滑膜组织均表达B19抗原VP-1，而骨关节炎及健康对照组无VP-1表达。与RA有关联的病毒还包括巨细胞病毒、肝炎病毒及多种反转录病毒，它们对于本病致病中的机制尚待研究。遗传因素 流行病学调查显示，同卵孪生子同患RA的概率为27％，而异卵孪生子同患RA的概率为13％，说明有一定的遗传倾向。性激素 RA患者雄激素及其代谢产物的水平明显降低。妊娠期间病情减轻，服避孕药的女性发病减少，更年期女性RA的发病明显高于同龄男性及老年女性。其他因素 寒冷、潮湿、疲劳、营养不良、吸烟、创伤和精神因素等，常为本病的诱发因素。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,,风湿免疫科,免疫性疾病,药物治疗,概述,2,,"RA,病毒,关节,滑膜,因素",749,374
发病机制 一般认为，RA是一种自身免疫性疾病，RA发病是多种因素共同作用的结果，由易感基因参与、感染因子及自身免疫反应介导的免疫损伤和修复是RA发病及病情演变的基础。人类白细胞抗原 人类白细胞抗原（human leukocyte antigen，HLA）是由单一链组成的HLA-DR、HLA-DP、HLA-DQ跨膜蛋白，主要功能是结合抗原、与T细胞受体形成HLA-抗原-TCR三分子复合物，并激活T细胞。T细胞的免疫反应 T细胞是RA滑膜组织中的主要炎性细胞。CD$_4^+$ 细胞占大多数，而CD$_8^+$细胞相对较少。滑膜细胞的免疫反应 正常滑膜关节的滑膜只有一、二层细胞厚度，但在RA时由于滑膜细胞大量增加，每个细胞的体积增大，滑膜明显增厚。大多数病程长的患者增厚的滑膜层下有淋巴细胞浸润。滑膜细胞可分为两大类：类似巨噬细胞的甲型滑膜细胞，类似成纤维母细胞的乙型滑膜细胞。甲型滑膜细胞在RA中起主要作用。近年来研究发现，RA滑膜出现异常凋亡与增殖，其中包括RA成纤维样滑膜细胞凋亡不足，导致炎症反应持续。自身抗体 RA患者B细胞产生自身抗体，其中类风湿因子（rheumatoid factor，RF）是最常见的一种，RF可在RA患者出现临床症状之前出现。RF包括IgM、IgG、IgA和IgE四型。RF与RA的滑膜炎症及关节外病变有关。RF可在关节腔内形成的抗原抗体复合物，可陷于透明软骨和纤维软骨，激活补体，刺激滑膜细胞增生，激活成纤维细胞，引起关节局部或其他部位病损。目前，在RA患者血清中还发现了抗核周因子及抗环状胍氨酸抗体等多种抗体。临床表现 好发人群 女性好发，发病率为男性的2或3倍，可发生于任何年龄，高发年龄为40～60岁。症状体征 可伴有体重减轻、低热及疲乏感等全身症状。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,,风湿免疫科,免疫性疾病,药物治疗,概述,2,,"滑膜,RA,细胞,HLA,RF",748,374
关节表现 （1）晨僵：早晨起床时关节活动不灵活的主观感觉，它是关节炎症的一种非特异表现，其持续时间与炎症的严重程度成正比。（2）关节受累的表现：①多关节受累，呈对称性多关节炎（常≥5个关节）。易受累的关节有手、足、腕、踝及颞颌关节等，其他还可有肘、肩、颈椎、髋、膝关节等。②关节畸形，手的畸形有梭形肿胀、尺侧偏斜、天鹅颈样畸形、钮孔花样畸形等。足的畸形有跖骨头向下半脱位引起的仰趾畸形、外翻畸形、跖趾关节半脱位、弯曲呈锤状趾及足外翻畸形。③其他，可有正中神经/胫后神经受压引起的腕管∕跗管综合征等表现。关节外表现 （1）一般表现：可有发热、类风湿结节（属于机化的肉芽肿，与高滴度RF、严重的关节破坏及RA活动有关，好发于肘部、关节鹰嘴突、骶部等关节隆突部及经常受压处）、类风湿血管炎（主要累及小动脉的坏死性小动脉炎，可表现为指、趾端坏死、皮肤溃疡、外周神经病变等）及淋巴结肿大。（2）心脏受累：可有心包炎、心包积液、心外膜、心肌及瓣膜的结节、心肌炎、冠状动脉炎、主动脉炎、传导障碍、慢性心内膜炎及心瓣膜纤维化等表现。（3）呼吸系统受累：可有胸膜炎、胸腔积液、肺动脉炎、间质性肺疾病和结节性肺病等。（4）肾脏表现：主要有原发性肾小球及肾小管间质性肾炎、肾脏淀粉样变和继发于药物治疗（金制剂、青霉胺及NSAIDs）的肾功能损害。（5）神经系统：除周围神经受压的症状外，还可诱发神经疾病、脊髓病、外周神经病、继发于血管炎的缺血性神经病、肌肥大及药物引起的神经系统病变。（6）贫血：是RA最常见的关节外表现，属于慢性疾病性贫血，常为轻至中度。（7）消化系统：可因RA血管炎、并发症或药物治疗所致。（8）眼：幼年患者可有葡萄膜炎，成人可有巩膜炎，可能由血管炎所致。还可有干燥性结膜角膜炎、巩膜软化、巩膜软化穿孔和角膜溶解。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,,风湿免疫科,免疫性疾病,药物治疗,治疗,2,,"关节,畸形,受累,表现,血管炎",756,378
诊断 实验室检查 一般检查 血、尿常规、肝功能损害、C反应蛋白（C reactive protein，CRP）、生化（肝肾功能，A/G）、免疫球蛋白、蛋白电泳、补体等。自身抗体 RF-IgM、抗环状胍氨酸抗体、RF-IgG及RF-IgA、抗核周因子、抗角蛋白抗体，以及抗核抗体、抗ENA抗体等。遗传标记 HLA-DR4和HLA-DR1亚型。影像学检查 （1）X线片。关节X线片可见软组织肿胀、骨质疏松及病情进展后的关节面囊性变、侵袭性骨破坏、关节面模糊、关节间隙狭窄、关节融合及脱位。X线可分4期。Ⅰ期，正常或骨质疏松。Ⅱ期，骨质疏松，有轻度关节面下骨质侵袭或破坏，关节间隙轻度狭窄。Ⅲ期，关节面下明显的骨质侵袭和破坏，关节间隙明显狭窄，关节半脱位畸形。Ⅳ期，上述改变合并有关节纤维性或骨性强直。胸部X线片可见肺间质病变和胸腔积液等。（2）CT检查。胸部CT可进一步提示肺部病变，尤其高分辨CT对肺间质病变更敏感。（3）MRI检查。手关节及腕关节的MRI检查可提示早期的滑膜炎病变，对发现RA患者的早期关节破坏很有帮助。（4）超声。关节超声是简易的无创性检查，对于滑膜炎、关节积液以及关节破坏有鉴别意义。研究认为其与MRI有较好的一致性。特殊检查 （1）关节穿刺术。对于有关节腔积液的关节，关节液的检查包括关节液培养、RF检测、抗CCP抗体检测、抗核抗体等，并做偏振光检测鉴别痛风的尿酸盐结晶。（2）关节镜及关节滑膜活检：对RA的诊断及鉴别诊断很有价值，对于单关节难治性的RA有辅助的治疗作用。RA的诊断标准、分期、功能及活动性判断 美国风湿病学会1987年修订的RA分类标准 标准具体见表：其中≥4条可以确诊RA。①晨僵至少1h（≥6周）。②3个或3个以上关节受累（≥6周）。③手关节（腕、MCP或PIP关节）受累（≥6周）。④对称性关节炎（≥6周）。⑤有类风湿皮下结节。⑥X线片改变。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,,风湿免疫科,免疫性疾病,药物治疗,诊断,2,,"关节,RA,X线,抗体,检查",794,397
⑦血清RF阳性（滴度＞1∶32）。病情分期 （1）早期：有滑膜炎，无软骨破坏。（2）中期：介于上、下间（有炎症、关节破坏、关节外表现）。（3）晚期：已有关节结构破坏，无进行性滑膜炎。关节功能分级 （1）Ⅰ级：功能状态完好，能完成平常任务无碍（能自由活动）。（2）Ⅱ级：能从事正常活动，但有1个或多个关节活动受限或不适（中度受限）。（3）Ⅲ级：只能胜任一般职业性任务或自理生活中的一部分（显著受限）。（4）Ⅳ级：大部分或完全丧失活动能力，需要长期卧床或依赖轮椅，很少或不能生活自理（卧床或轮椅）。活动性指标 （1）关节疼痛≥4个。（2）晨僵＞30min。（3）ESR≥30mm/h。（4）CRP增高。（5）血小板计数增高。（6）贫血。（7）RF（＋）1∶20以上。（8）有关节外表现（发热、贫血、血管炎等）。治疗 药物治疗 本病尚缺乏根治方案以及预防措施，当前应用的药物均不能完全控制关节破坏。治疗目的主要：①控制关节及其他组织炎症，延缓病情的进展。②保持关节功能和防止畸形。③修复受损关节以减轻疼痛和恢复功能。为达到上述目的，早期诊断和早期治疗极为重要。治疗原则：①早期诊断，尽早治疗。早期发现进行性或侵袭性疾病患者，尽早应用改变病情药物以控制RA病变的进展。②联合用药：对重症患者应联合应用两种以上改变病情的药物，以使病情完全缓解。联合用药可减少单独用药的剂量，减少不良反应的发生。③治疗方案个体化：根据患者的病情、对药物的作用及不良反应等多方面情况选择个体化治疗方案。④功能锻炼：除急性期、发热以及内脏受累的患者需卧床休息和关节制动外，只要患者可以耐受，应及早地进行关节功能锻炼，以免过久的卧床导致关节废用，甚至促进关节强直。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,,风湿免疫科,免疫性疾病,药物治疗,诊断,2,,"关节,治疗,病情,卧床,功能",715,357
药物分类和作用机制 根据药物作用机制，WHO将抗RA药物分为：①改善症状抗风湿药（symptom modifying anti-rheumatic drugs，SM-ARDs）：这类药物改善炎症性滑膜炎的症状和临床表现，包括NSAIDs、糖皮质激素（glucocorticoid）、改变病情抗风湿药（disease-modifying anti-rheumatic drugs，DMARDs）。②控制疾病的抗风湿治疗药（disease controlling anti-rheumatic therapy，DC-ART）：这类药物能改变RA的病程。其作用为：①改善并维持关节功能，降低滑膜炎症。②防止或明显降低关节病变的进展，且至少维持1年。迄今尚无堪称DC-ART的药物。习惯上把治疗RA的药物分为一线、二线及三线药物（具体见表）。一线药物主要是NSAIDs。二线药物是指DMARDs。三线药物是糖皮质激素类药物。\paragraph 此类药物作用机理是抑制环氧化酶（cyclooxygenase，COX），导致炎症介质前列腺素合成减少，从而使炎症减轻，达到消炎止痛的作用。特点是起效快，可缓解关节疼痛及晨僵等症状，但不能控制病情进展。现已发现COX有两种亚型，即COX-1和COX-2，COX-1为结构酶，其底物PGs主要参与调节机体的生理功能，如调节外周血管张力，维持肾血流量，保护胃黏膜及调节血小板聚集等功能。COX-2是诱导酶，存在于白细胞中，炎症和疼痛时合成PGs，临床宜选用不良反应小的COX-2选择性抑制剂。常用的NSAIDs用法及不良反应如表所示。\paragraph 该类药物可以减轻RA的关节症状和体征并延缓关节病变的进展。本组药物包括传统的青霉胺、金制剂、柳氮磺吡啶、抗疟药（氯喹、羟氯喹）等。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,,风湿免疫科,免疫性疾病,药物治疗,概述,2,,"COX,药物,RA,关节,抗风湿",759,379
由于这组药物起效时间平均在6周以上，且其中多数药物并不具备阻止关节破坏的性能，故曾称为慢作用抗风湿药（slow acting anti-rheumatic drugs，SAARDs）。近年来本类药物包括了起效迅速的治疗关节炎的生物制剂（TNF阻滞剂，IL-1阻滞剂），故倾向用DMARDs名词。在广义上，DMARDs类药物中也应包括某些免疫抑制剂，通过抑制细胞和体液免疫反应使组织损伤得以减轻，如MTX、来氟米特、环磷酰胺、AZA等。此外，还包括多种用于RA的植物药制剂，如白芍总苷、雷公藤等，对缓解关节肿痛、晨僵均有较好的作用，但长期缓解病变的作用还需进一步研究。本类药物中常用的药物及其作用机制如表所示。糖皮质激素（Glucocorticoid） 糖皮质激素可有效减轻炎症肿痛、迅速缓解病情，但效果不持久，对病因和发病机理无影响，其主要机制是与靶细胞胞浆内的受体结合，抑制多种炎症因子介导的炎症。治疗药物的选用 \paragraph NSAIDs的功效并无太大差异，影响其选用的主要因素包括药物不良反应、服药是否方便、作用持续时间和费用等。无论选择何种NSAIDs，剂量都应个体化。只有在一种NSAIDs足量使用1～2周无效后才更改为另一种。避免同时服用2种或2种以上NSAIDs。老年人宜选用半衰期短的NSAIDs药物，对有溃疡病史的老年人，宜服用选择性COX-2抑制剂以减少胃肠道不良反应。常用的DMARDs DMARDs不能迅速地抗炎止痛，但有改善和延缓病情进展的作用。从疗效和费用等考虑，一般首选MTX，并将它作为联合治疗的基本药物。一般对单用一种DMARDs疗效不好或进展性、预后不良和难治性RA患者可采用机制不同的DMARDs联合治疗。目前常用的联合方案有：①MTX＋SSZ。②MTX＋羟氯喹（或氯喹）。③MTX＋青霉胺。④MTX＋金诺芬。⑤MTX＋AZA。⑥SSZ＋羟氯喹。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,,风湿免疫科,免疫性疾病,药物治疗,概述,2,,"MTX,DMARDs,NSAIDs,药物,氯喹",796,398
国内还可采用MTX和植物药（雷公藤多甙和白芍总甙等）联合治疗。如患者对MTX不能耐受，可改用来氟米特或其他DMARDs，难治性RA可用MTX＋来氟米特或多种DMARDs联合治疗。治疗RA应迅速给予NSAIDs缓解疼痛和炎症，尽早使用DMARDs，以减少或延缓骨破坏。早期积极、合理使用DMARDs治疗是减少致残的关键。症状缓解后，为防止病情复发原则上不停药，但也可依据病情逐渐减量维持治疗，直至最终停用。糖皮质激素 一般说来激素不能作为治疗RA的首选药，一旦停药短期内复发，长期应用可导致严重不良反应。治疗药物的相互作用 （1）糖皮质激素与MTX合用可加重后者的毒性作用，两者联用应减少MTX的用量。两药长期联用有可能引起膀胱移行细胞癌，应定期尿检。糖皮质激素与环磷酰胺联用可提高免疫抑制作用，并减少用量。（2）几乎所有的NSAIDs都可抑制MTX肾排泄，增加MTX毒性。老人、肾衰者及叶酸耗竭者易受影响，老人和肾功能不全者慎用。常用治疗方案的选用 金字塔模式 金字塔模式的原则是对RA初发患者从一线药物开始，即以NSAIDs为首选药物。如果不能控制病情或患者不能耐受时，再改用二线药物，即DMARDs。如仍不能控制病情则改用三线药物，即糖皮质激素。在使用二线、三线乃至更高层次的药物时，底层的基础治疗仍可继续。下台阶模式 对病情较重的RA患者，一般在2年内发生骨侵蚀性改变。如果遵循金字塔模式易错过治疗时机。Wilske于1990年提出了下台阶模式，其原则是早期使用起效快的糖皮质激素（或NSAIDs）和MTX控制炎症，一旦炎症得到控制，即逐渐停用第一台阶的药物而改用DMARDs，最大限度地发挥各种药物的不同作用。下台阶模式的目的是为了在关节出现损害之前控制病情，并缩短DMARDs的使用时间减轻其不良反应。目前下台阶模式已被广泛采用。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,,风湿免疫科,免疫性疾病,药物治疗,临床表现,2,,"MTX,DMARDs,RA,治疗,药物",770,385
锯齿形模式 1990年Fries提出了锯齿形模式，其原则是RA一旦确诊，早期使用DMARDs。一旦发现病情加重或复发，即改变DMARDs，重新控制病情，使RA的病程呈锯齿形。免疫净化 RA患者血中常有高滴度自身抗体、大量循环免疫复合物、高免疫球蛋白等。因此，除药物治疗外，可选用免疫净化疗法，快速去除血浆中的免疫复合物和过高的免疫球蛋白、自身抗体等。如免疫活性淋巴细胞过多，还可采用单个核细胞清除疗法，从而改善T、B细胞及巨噬细胞和自然杀伤细胞功能，降低血液黏滞度，以达到改善症状的目的，同时提高药物治疗的效果。目前常用的免疫净化疗法包括血浆置换、免疫吸附和淋巴细胞/单核细胞去除术，被置换的病理性成分可以是淋巴细胞、粒细胞、免疫球蛋白或血浆等，应用此方法时需配合药物治疗。功能锻炼 必须强调，功能锻炼是RA患者关节功能得以恢复及维持的重要方法。一般说来，在关节肿痛明显的急性期，应适当限制关节活动。但是，一旦肿痛改善，应在不增加患者痛苦的前提下进行功能活动。对无明显关节肿痛，但伴有可逆性关节活动受限者，应鼓励其进行正规的功能锻炼。在有条件的医疗机构，应在风湿病专科及康复专科医师的指导下进行。外科治疗 经内科治疗不能控制及严重关节功能障碍的RA患者，外科手术是有效的治疗手段。外科治疗的范围从腕管综合征的松解术、肌腱撕裂后修补术至滑膜切除及关节置换术。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,,风湿免疫科,免疫性疾病,药物治疗,概述,2,,"免疫,RA,关节,治疗,功能",578,289
病因 可能与环境、细菌、病毒、遗传和性激素等相关。感染因素 已经证明某些病毒和细菌微生物可通过其体内的抗原性蛋白或多肽片段介导RA患者的自身免疫反应。（1）细菌因素。A组链球菌及菌壁的肽聚糖长期存在于体内成为持续的抗原，刺激机体产生抗体，发生免疫病理损伤而致病。结核分枝杆菌的热休克蛋白也与机体有共同的序列，提示可能与RA有关。（2）病毒因素。EB病毒的gp110糖蛋白可能通过分子模拟机制在RA的发生和演变中发挥作用。77％的RA患者滑膜中有细小病毒B19基因，活动性滑膜炎患者的滑膜组织均表达B19抗原VP-1，而骨关节炎及健康对照组无VP-1表达。与RA有关联的病毒还包括巨细胞病毒、肝炎病毒及多种反转录病毒，它们对于本病致病中的机制尚待研究。遗传因素 流行病学调查显示，同卵孪生子同患RA的概率为27％，而异卵孪生子同患RA的概率为13％，说明有一定的遗传倾向。性激素 RA患者雄激素及其代谢产物的水平明显降低。妊娠期间病情减轻，服避孕药的女性发病减少，更年期女性RA的发病明显高于同龄男性及老年女性。其他因素 寒冷、潮湿、疲劳、营养不良、吸烟、创伤和精神因素等，常为本病的诱发因素。发病机制 一般认为，RA是一种自身免疫性疾病，RA发病是多种因素共同作用的结果，由易感基因参与、感染因子及自身免疫反应介导的免疫损伤和修复是RA发病及病情演变的基础。人类白细胞抗原 人类白细胞抗原（human leukocyte antigen，HLA）是由单一链组成的HLA-DR、HLA-DP、HLA-DQ跨膜蛋白，主要功能是结合抗原、与T细胞受体形成HLA-抗原-TCR三分子复合物，并激活T细胞。T细胞的免疫反应 T细胞是RA滑膜组织中的主要炎性细胞。CD$_4^+$ 细胞占大多数，而CD$_8^+$细胞相对较少。,临床药物治疗学\content\chap16.tex,免疫性疾病的药物治疗,类风湿关节炎,病因和发病机制,风湿免疫科,免疫性疾病,药物治疗,概述,3,,"RA,病毒,HLA,抗原,细胞",758,379
